Date,USDT-USD
2023-09-26,0.9996060132980347
2023-09-27,0.9993860125541687
2023-09-28,1.0000170469284058
2023-09-29,1.0000419616699219
2023-09-30,1.0002100467681885
2023-10-01,0.9998940229415894
2023-10-02,1.0003329515457153
2023-10-03,1.0000920295715332
2023-10-04,1.0004370212554932
2023-10-05,1.0000890493392944
2023-10-06,1.0004359483718872
2023-10-07,1.0005500316619873
2023-10-08,1.0004600286483765
2023-10-09,1.000080943107605
2023-10-10,1.0000879764556885
2023-10-11,0.9997519850730896
2023-10-12,0.9997079968452454
2023-10-13,0.9999600052833557
2023-10-14,1.0001059770584106
2023-10-15,1.0003730058670044
2023-10-16,1.000548005104065
2023-10-17,1.0004040002822876
2023-10-18,1.0002269744873047
2023-10-19,1.0004630088806152
2023-10-20,1.0005309581756592
2023-10-21,1.0003559589385986
2023-10-22,1.0002460479736328
2023-10-23,1.0003999471664429
2023-10-24,1.0000150203704834
2023-10-25,1.0004149675369263
2023-10-26,1.0001929998397827
2023-10-27,1.0002570152282715
2023-10-28,1.0002529621124268
2023-10-29,1.0003869533538818
2023-10-30,1.0005719661712646
2023-10-31,1.0003149509429932
2023-11-01,1.0006109476089478
2023-11-02,1.0002130270004272
2023-11-03,1.0006500482559204
2023-11-04,1.0007810592651367
2023-11-05,1.000723958015442
2023-11-06,1.0003169775009155
2023-11-07,1.0005689859390259
2023-11-08,1.0003550052642822
2023-11-09,1.0000929832458496
2023-11-10,0.9999979734420776
2023-11-11,0.9998329877853394
2023-11-12,1.000143051147461
2023-11-13,1.0003739595413208
2023-11-14,1.0002590417861938
2023-11-15,1.0007699728012085
2023-11-16,1.000038981437683
2023-11-17,1.0005780458450317
2023-11-18,1.0005979537963867
2023-11-19,1.0004539489746094
2023-11-20,1.0005970001220703
2023-11-21,1.0003889799118042
2023-11-22,1.0003379583358765
2023-11-23,1.000141978263855
2023-11-24,1.0003529787063599
2023-11-25,1.000478982925415
2023-11-26,1.0002110004425049
2023-11-27,0.9999799728393555
2023-11-28,1.0003770589828491
2023-11-29,1.0002199411392212
2023-11-30,1.000156044960022
2023-12-01,1.0001850128173828
2023-12-02,1.0003639459609985
2023-12-03,1.0003089904785156
2023-12-04,0.9999129772186279
2023-12-05,1.0005459785461426
2023-12-06,1.0000319480895996
2023-12-07,1.0003169775009155
2023-12-08,1.0001239776611328
2023-12-09,1.0005170106887817
2023-12-10,1.0000439882278442
2023-12-11,0.999547004699707
2023-12-12,0.9997860193252563
2023-12-13,1.0001909732818604
2023-12-14,1.000154972076416
2023-12-15,1.0001499652862549
2023-12-16,0.9991819858551025
2023-12-17,0.9998769760131836
2023-12-18,0.9997580051422119
2023-12-19,0.9998900294303894
2023-12-20,1.000025987625122
2023-12-21,1.0001460313796997
2023-12-22,1.0009429454803467
2023-12-23,1.0007410049438477
2023-12-24,1.0008800029754639
2023-12-25,1.0005619525909424
2023-12-26,1.0002340078353882
2023-12-27,1.000694990158081
2023-12-28,1.0011860132217407
2023-12-29,1.0004489421844482
2023-12-30,1.0003809928894043
2023-12-31,0.9997299909591675
2024-01-01,1.0003679990768433
2024-01-02,1.0005069971084595
2024-01-03,1.0006569623947144
2024-01-04,1.0010319948196411
2024-01-05,1.000877022743225
2024-01-06,1.0005919933319092
2024-01-07,1.0006070137023926
2024-01-08,1.0005990266799927
2024-01-09,1.0001660585403442
2024-01-10,1.000223994255066
2024-01-11,1.0002470016479492
2024-01-12,0.999908983707428
2024-01-13,0.9999759793281555
2024-01-14,0.9994900226593018
2024-01-15,0.9997230172157288
2024-01-16,0.9998689889907837
2024-01-17,0.9991880059242249
2024-01-18,0.9992049932479858
2024-01-19,0.9991859793663025
2024-01-20,0.9993109703063965
2024-01-21,0.999439001083374
2024-01-22,0.9988530278205872
2024-01-23,0.9992470145225525
2024-01-24,0.999737024307251
2024-01-25,0.9997169971466064
2024-01-26,0.9999859929084778
2024-01-27,1.000046968460083
2024-01-28,1.0000009536743164
2024-01-29,1.0001250505447388
2024-01-30,1.0000280141830444
2024-01-31,1.0000280141830444
2024-02-01,0.9999330043792725
2024-02-02,0.9997140169143677
2024-02-03,0.999809980392456
2024-02-04,0.9997199773788452
2024-02-05,0.9987949728965759
2024-02-06,0.9999819993972778
2024-02-07,0.9998239874839783
2024-02-08,1.000195026397705
2024-02-09,1.0004899501800537
2024-02-10,1.0003180503845215
2024-02-11,1.0002789497375488
2024-02-12,1.0002789497375488
2024-02-13,1.0005919933319092
2024-02-14,1.000931978225708
2024-02-15,1.0009440183639526
2024-02-16,1.0006519556045532
2024-02-17,1.000359058380127
2024-02-18,1.000236988067627
2024-02-19,1.0001020431518555
2024-02-20,1.0001699924468994
2024-02-21,1.0000139474868774
2024-02-22,0.9993600249290466
2024-02-23,0.9998980164527893
2024-02-24,1.000059962272644
2024-02-25,0.9999039769172668
2024-02-26,1.0007179975509644
2024-02-27,1.0003540515899658
2024-02-28,1.001060962677002
2024-02-29,1.0004019737243652
2024-03-01,1.0006779432296753
2024-03-02,1.0006059408187866
2024-03-03,1.0004509687423706
2024-03-04,1.001291036605835
2024-03-05,1.0013079643249512
2024-03-06,1.000445008277893
2024-03-07,1.0014009475708008
2024-03-08,1.0021899938583374
2024-03-09,1.0021530389785767
2024-03-10,1.0009939670562744
2024-03-11,1.0002750158309937
2024-03-12,1.0000920295715332
2024-03-13,1.0005170106887817
2024-03-14,0.9996790289878845
2024-03-15,1.0001239776611328
2024-03-16,0.999243974685669
2024-03-17,0.9993709921836853
2024-03-18,0.9999160170555115
2024-03-19,0.9994800090789795
