Date,STETH-USD
2023-09-26,1591.2493896484375
2023-09-27,1597.8560791015625
2023-09-28,1647.44677734375
2023-09-29,1666.048583984375
2023-09-30,1674.5517578125
2023-10-01,1733.534423828125
2023-10-02,1664.80810546875
2023-10-03,1656.0640869140625
2023-10-04,1645.83056640625
2023-10-05,1613.3587646484375
2023-10-06,1644.4603271484375
2023-10-07,1637.6317138671875
2023-10-08,1633.6475830078125
2023-10-09,1578.0491943359375
2023-10-10,1572.8089599609375
2023-10-11,1564.7640380859375
2023-10-12,1535.459716796875
2023-10-13,1550.1580810546875
2023-10-14,1553.911376953125
2023-10-15,1558.4019775390625
2023-10-16,1597.4044189453125
2023-10-17,1566.6939697265625
2023-10-18,1564.764404296875
2023-10-19,1567.143798828125
2023-10-20,1601.8211669921875
2023-10-21,1630.875732421875
2023-10-22,1659.4005126953125
2023-10-23,1759.348388671875
2023-10-24,1786.2142333984375
2023-10-25,1785.6199951171875
2023-10-26,1801.263427734375
2023-10-27,1772.94189453125
2023-10-28,1774.29345703125
2023-10-29,1792.4066162109375
2023-10-30,1806.0228271484375
2023-10-31,1806.41943359375
2023-11-01,1838.17333984375
2023-11-02,1800.443603515625
2023-11-03,1826.4090576171875
2023-11-04,1849.9713134765625
2023-11-05,1887.8291015625
2023-11-06,1892.40869140625
2023-11-07,1876.697509765625
2023-11-08,1884.7200927734375
2023-11-09,2108.234619140625
2023-11-10,2076.2099609375
2023-11-11,2048.6640625
2023-11-12,2043.1392822265625
2023-11-13,2050.70166015625
2023-11-14,1980.23681640625
2023-11-15,2051.96826171875
2023-11-16,1958.5146484375
2023-11-17,1949.7022705078125
2023-11-18,1957.197021484375
2023-11-19,2000.017822265625
2023-11-20,2020.8978271484375
2023-11-21,1944.662109375
2023-11-22,2061.87939453125
2023-11-23,2054.021240234375
2023-11-24,2079.364501953125
2023-11-25,2076.108154296875
2023-11-26,2058.10986328125
2023-11-27,2021.337646484375
2023-11-28,2044.8040771484375
2023-11-29,2027.640869140625
2023-11-30,2045.652099609375
2023-12-01,2080.591796875
2023-12-02,2158.363037109375
2023-12-03,2197.2197265625
2023-12-04,2236.026611328125
2023-12-05,2282.87744140625
2023-12-06,2227.767333984375
2023-12-07,2347.46533203125
2023-12-08,2348.760009765625
2023-12-09,2331.83251953125
2023-12-10,2341.3037109375
2023-12-11,2215.947509765625
2023-12-12,2193.415771484375
2023-12-13,2245.416748046875
2023-12-14,2305.857177734375
2023-12-15,2225.90966796875
2023-12-16,2222.68994140625
2023-12-17,2201.246337890625
2023-12-18,2214.6279296875
2023-12-19,2172.512939453125
2023-12-20,2187.77880859375
2023-12-21,2231.69921875
2023-12-22,2318.610595703125
2023-12-23,2290.04736328125
2023-12-24,2264.35693359375
2023-12-25,2260.562255859375
2023-12-26,2216.871337890625
2023-12-27,2363.558349609375
2023-12-28,2355.552734375
2023-12-29,2305.5927734375
2023-12-30,2292.934814453125
2023-12-31,2280.12646484375
2024-01-01,2340.830322265625
2024-01-02,2357.47705078125
2024-01-03,2215.625
2024-01-04,2262.046875
2024-01-05,2254.7744140625
2024-01-06,2233.485595703125
2024-01-07,2219.828857421875
2024-01-08,2318.5283203125
2024-01-09,2336.021728515625
2024-01-10,2588.414306640625
2024-01-11,2616.3466796875
2024-01-12,2529.937744140625
2024-01-13,2568.03369140625
2024-01-14,2475.80859375
2024-01-15,2511.9248046875
2024-01-16,2586.759765625
2024-01-17,2525.89794921875
2024-01-18,2462.631103515625
2024-01-19,2489.743408203125
2024-01-20,2468.654052734375
2024-01-21,2453.39697265625
2024-01-22,2308.692626953125
2024-01-23,2238.400634765625
2024-01-24,2229.93212890625
2024-01-25,2217.85595703125
2024-01-26,2266.408203125
2024-01-27,2264.752685546875
2024-01-28,2250.866455078125
2024-01-29,2286.8681640625
2024-01-30,2355.2314453125
2024-01-31,2282.3125
2024-02-01,2301.5654296875
2024-02-02,2305.041259765625
2024-02-03,2298.372314453125
2024-02-04,2292.385009765625
2024-02-05,2297.103515625
2024-02-06,2365.687744140625
2024-02-07,2424.38818359375
2024-02-08,2424.915283203125
2024-02-09,2488.02978515625
2024-02-10,2498.16552734375
2024-02-11,2506.97021484375
2024-02-12,2659.51025390625
2024-02-13,2637.451171875
2024-02-14,2776.76708984375
2024-02-15,2823.682861328125
2024-02-16,2803.523193359375
2024-02-17,2785.2060546875
2024-02-18,2878.83740234375
2024-02-19,2947.169677734375
2024-02-20,3014.0234375
2024-02-21,2967.06396484375
2024-02-22,2978.477783203125
2024-02-23,2922.44091796875
2024-02-24,2987.894775390625
2024-02-25,3110.02587890625
2024-02-26,3175.1923828125
2024-02-27,3241.533203125
2024-02-28,3378.063232421875
2024-02-29,3343.387451171875
2024-03-01,3430.62158203125
2024-03-02,3414.356689453125
2024-03-03,3476.484130859375
2024-03-04,3627.273193359375
2024-03-05,3554.0234375
2024-03-06,3819.76318359375
2024-03-07,3864.725341796875
2024-03-08,3893.188232421875
2024-03-09,3911.353759765625
2024-03-10,3868.163818359375
2024-03-11,4063.708251953125
2024-03-12,3965.2802734375
2024-03-13,3999.393310546875
2024-03-14,3880.173095703125
2024-03-15,3720.07080078125
2024-03-16,3516.2783203125
2024-03-17,3649.16748046875
2024-03-18,3522.478759765625
2024-03-19,3157.174072265625
2024-03-20,3509.10791015625
2024-03-21,3485.4375
2024-03-22,3313.531005859375
2024-03-23,3324.978759765625
2024-03-24,3449.03173828125
2024-03-25,3588.54248046875
2024-03-26,3588.9560546875
2024-03-27,3496.452880859375
2024-03-28,3553.2548828125
