Date,WETH-USD
2023-09-26,1592.346923828125
2023-09-27,1597.4356689453125
2023-09-28,1652.617919921875
2023-09-29,1667.6773681640625
2023-09-30,1671.7613525390625
2023-10-01,1732.1923828125
2023-10-02,1663.4903564453125
2023-10-03,1656.5609130859375
2023-10-04,1647.4306640625
2023-10-05,1612.753173828125
2023-10-06,1645.7733154296875
2023-10-07,1634.957763671875
2023-10-08,1633.0377197265625
2023-10-09,1578.83544921875
2023-10-10,1566.4306640625
2023-10-11,1562.1011962890625
2023-10-12,1538.2940673828125
2023-10-13,1551.460205078125
2023-10-14,1555.9169921875
2023-10-15,1557.092529296875
2023-10-16,1600.783447265625
2023-10-17,1564.827880859375
2023-10-18,1563.7822265625
2023-10-19,1567.031005859375
2023-10-20,1605.287353515625
2023-10-21,1628.8848876953125
2023-10-22,1662.102294921875
2023-10-23,1763.376708984375
2023-10-24,1783.5667724609375
2023-10-25,1786.430419921875
2023-10-26,1803.2047119140625
2023-10-27,1780.309326171875
2023-10-28,1776.869140625
2023-10-29,1796.060791015625
2023-10-30,1809.849609375
2023-10-31,1814.9959716796875
2023-11-01,1846.1190185546875
2023-11-02,1800.2359619140625
2023-11-03,1832.584228515625
2023-11-04,1857.435302734375
2023-11-05,1895.16943359375
2023-11-06,1899.3055419921875
2023-11-07,1887.09375
2023-11-08,1891.511962890625
2023-11-09,2120.9296875
2023-11-10,2080.43798828125
2023-11-11,2050.06396484375
2023-11-12,2044.0003662109375
2023-11-13,2058.54150390625
2023-11-14,1980.5230712890625
2023-11-15,2058.7900390625
2023-11-16,1961.0689697265625
2023-11-17,1958.1888427734375
2023-11-18,1962.69384765625
2023-11-19,2010.61376953125
2023-11-20,2023.506591796875
2023-11-21,1941.2999267578125
2023-11-22,2065.484375
2023-11-23,2062.280029296875
2023-11-24,2079.692626953125
2023-11-25,2084.42724609375
2023-11-26,2065.271728515625
2023-11-27,2026.7125244140625
2023-11-28,2049.711669921875
2023-11-29,2028.6923828125
2023-11-30,2051.131591796875
2023-12-01,2087.089599609375
2023-12-02,2164.262939453125
2023-12-03,2191.401611328125
2023-12-04,2240.968505859375
2023-12-05,2293.463623046875
2023-12-06,2231.780029296875
2023-12-07,2356.4091796875
2023-12-08,2359.69580078125
2023-12-09,2340.2431640625
2023-12-10,2351.60986328125
2023-12-11,2222.966796875
2023-12-12,2202.465087890625
2023-12-13,2261.461181640625
2023-12-14,2316.087890625
2023-12-15,2219.17822265625
2023-12-16,2225.968017578125
2023-12-17,2199.814453125
2023-12-18,2216.962646484375
2023-12-19,2177.304931640625
2023-12-20,2196.888671875
2023-12-21,2238.62451171875
2023-12-22,2326.29736328125
2023-12-23,2309.635009765625
2023-12-24,2266.997802734375
2023-12-25,2274.53662109375
2023-12-26,2230.89892578125
2023-12-27,2377.934814453125
2023-12-28,2348.095458984375
2023-12-29,2298.085693359375
2023-12-30,2294.0
2023-12-31,2280.46875
2024-01-01,2348.4931640625
2024-01-02,2357.297607421875
2024-01-03,2209.92919921875
2024-01-04,2273.021484375
2024-01-05,2259.107421875
2024-01-06,2239.19482421875
2024-01-07,2219.7783203125
2024-01-08,2334.242431640625
2024-01-09,2338.284912109375
2024-01-10,2579.73681640625
2024-01-11,2615.39990234375
2024-01-12,2519.24462890625
2024-01-13,2576.767822265625
2024-01-14,2492.889404296875
2024-01-15,2514.867919921875
2024-01-16,2594.741455078125
2024-01-17,2525.072265625
2024-01-18,2466.0078125
2024-01-19,2488.7353515625
2024-01-20,2469.01416015625
2024-01-21,2460.918212890625
2024-01-22,2315.516845703125
2024-01-23,2231.88037109375
2024-01-24,2227.96484375
2024-01-25,2218.5498046875
2024-01-26,2266.5458984375
2024-01-27,2267.78173828125
2024-01-28,2255.38720703125
2024-01-29,2312.603759765625
2024-01-30,2356.66748046875
2024-01-31,2283.650634765625
2024-02-01,2299.966552734375
2024-02-02,2304.6083984375
2024-02-03,2298.20703125
2024-02-04,2287.754638671875
2024-02-05,2294.07275390625
2024-02-06,2377.5244140625
2024-02-07,2425.840576171875
2024-02-08,2424.368896484375
2024-02-09,2492.205810546875
2024-02-10,2499.67578125
2024-02-11,2504.26025390625
2024-02-12,2646.874755859375
2024-02-13,2636.174560546875
2024-02-14,2776.632080078125
2024-02-15,2822.75634765625
2024-02-16,2796.419677734375
2024-02-17,2786.05517578125
2024-02-18,2874.6650390625
2024-02-19,2948.208740234375
2024-02-20,3005.35498046875
2024-02-21,2949.054931640625
2024-02-22,2977.49169921875
2024-02-23,2927.324951171875
2024-02-24,2989.67138671875
2024-02-25,3107.801025390625
2024-02-26,3177.302001953125
2024-02-27,3245.398681640625
2024-02-28,3364.279296875
2024-02-29,3348.5810546875
2024-03-01,3435.931396484375
2024-03-02,3416.925537109375
2024-03-03,3479.1220703125
2024-03-04,3616.99609375
2024-03-05,3540.945556640625
2024-03-06,3821.368408203125
2024-03-07,3868.1337890625
2024-03-08,3899.1923828125
2024-03-09,3912.84619140625
2024-03-10,3875.121337890625
2024-03-11,4068.146484375
2024-03-12,3965.1044921875
2024-03-13,4000.180419921875
2024-03-14,3880.93212890625
2024-03-15,3720.863525390625
2024-03-16,3528.661376953125
2024-03-17,3640.072509765625
2024-03-18,3525.898193359375
2024-03-19,3185.993896484375
2024-03-20,3515.541748046875
2024-03-21,3490.52099609375
2024-03-22,3311.88623046875
2024-03-23,3366.40869140625
2024-03-24,3452.579833984375
2024-03-25,3597.591552734375
2024-03-26,3591.862548828125
2024-03-27,3502.293701171875
2024-03-28,3565.59375
2024-03-29,3516.60107421875
