Date,MNT27075-USD
2023-09-26,0.3900650143623352
2023-09-27,0.3886379897594452
2023-09-28,0.3947170078754425
2023-09-29,0.3974370062351227
2023-09-30,0.398050993680954
2023-10-01,0.3988330066204071
2023-10-02,0.4113680124282837
2023-10-03,0.4119899868965149
2023-10-04,0.40684300661087036
2023-10-05,0.39915400743484497
2023-10-06,0.3976050019264221
2023-10-07,0.3928149938583374
2023-10-08,0.3803589940071106
2023-10-09,0.3738279938697815
2023-10-10,0.36437898874282837
2023-10-11,0.3527030050754547
2023-10-12,0.3403970003128052
2023-10-13,0.3243269920349121
2023-10-14,0.32699498534202576
2023-10-15,0.32479798793792725
2023-10-16,0.3338150084018707
2023-10-17,0.3231320083141327
2023-10-18,0.31901198625564575
2023-10-19,0.3307870030403137
2023-10-20,0.3721579909324646
2023-10-21,0.3853349983692169
2023-10-22,0.37393900752067566
2023-10-23,0.3801870048046112
2023-10-24,0.3776730000972748
2023-10-25,0.3728429973125458
2023-10-26,0.37639400362968445
2023-10-27,0.37549400329589844
2023-10-28,0.3775840103626251
2023-10-29,0.3792940080165863
2023-10-30,0.37863799929618835
2023-10-31,0.3789530098438263
2023-11-01,0.38356301188468933
2023-11-02,0.40303701162338257
2023-11-03,0.4107379913330078
2023-11-04,0.40983501076698303
2023-11-05,0.4141579866409302
2023-11-06,0.4154439866542816
2023-11-07,0.41579699516296387
2023-11-08,0.43460699915885925
2023-11-09,0.45934000611305237
2023-11-10,0.46281200647354126
2023-11-11,0.4349130094051361
2023-11-12,0.440326988697052
2023-11-13,0.45619601011276245
2023-11-14,0.44790899753570557
2023-11-15,0.45785799622535706
2023-11-16,0.48083099722862244
2023-11-17,0.5303149819374084
2023-11-18,0.5075039863586426
2023-11-19,0.4937329888343811
2023-11-20,0.4929560124874115
2023-11-21,0.46924299001693726
2023-11-22,0.46314001083374023
2023-11-23,0.5075479745864868
2023-11-24,0.5081949830055237
2023-11-25,0.5130969882011414
2023-11-26,0.5129860043525696
2023-11-27,0.5053290128707886
2023-11-28,0.5333229899406433
2023-11-29,0.5244449973106384
2023-11-30,0.5384420156478882
2023-12-01,0.5441880226135254
2023-12-02,0.5485659837722778
2023-12-03,0.5463039875030518
2023-12-04,0.5960969924926758
2023-12-05,0.5864970088005066
2023-12-06,0.6288440227508545
2023-12-07,0.6418139934539795
2023-12-08,0.6371009945869446
2023-12-09,0.6192110180854797
2023-12-10,0.6072419881820679
2023-12-11,0.5830870270729065
2023-12-12,0.581512987613678
2023-12-13,0.586775004863739
2023-12-14,0.5985069870948792
2023-12-15,0.5809530019760132
2023-12-16,0.5828819870948792
2023-12-17,0.5672129988670349
2023-12-18,0.5672569870948792
2023-12-19,0.5623090267181396
2023-12-20,0.5637289881706238
2023-12-21,0.5758870244026184
2023-12-22,0.6001629829406738
2023-12-23,0.6183329820632935
2023-12-24,0.6258760094642639
2023-12-25,0.6110860109329224
2023-12-26,0.5879930257797241
2023-12-27,0.6161209940910339
2023-12-28,0.644025981426239
2023-12-29,0.6590350270271301
2023-12-30,0.658843994140625
2023-12-31,0.6424199938774109
2024-01-01,0.6445170044898987
2024-01-02,0.668819010257721
2024-01-03,0.624131977558136
2024-01-04,0.602882981300354
2024-01-05,0.6056979894638062
2024-01-06,0.5993329882621765
2024-01-07,0.5900729894638062
2024-01-08,0.6104450225830078
2024-01-09,0.657787024974823
2024-01-10,0.7741559743881226
2024-01-11,0.8007130026817322
2024-01-12,0.7410439848899841
2024-01-13,0.7689239978790283
2024-01-14,0.6999160051345825
2024-01-15,0.719340980052948
2024-01-16,0.7291939854621887
2024-01-17,0.7116460204124451
2024-01-18,0.6878309845924377
2024-01-19,0.6820120215415955
2024-01-20,0.6733769774436951
2024-01-21,0.6775829792022705
2024-01-22,0.6481599807739258
2024-01-23,0.6204649806022644
2024-01-24,0.6320840120315552
2024-01-25,0.6166980266571045
2024-01-26,0.6535919904708862
2024-01-27,0.6550530195236206
2024-01-28,0.639045000076294
2024-01-29,0.6214569807052612
2024-01-30,0.5922589898109436
2024-01-31,0.5852450132369995
2024-02-01,0.5888839960098267
2024-02-02,0.5890730023384094
2024-02-03,0.5904690027236938
2024-02-04,0.596127986907959
2024-02-05,0.5907160043716431
2024-02-06,0.598351001739502
2024-02-07,0.6099420189857483
2024-02-08,0.6108270287513733
2024-02-09,0.6490210294723511
2024-02-10,0.6514660120010376
2024-02-11,0.6544309854507446
2024-02-12,0.6841869950294495
2024-02-13,0.6936799883842468
2024-02-14,0.7766979932785034
2024-02-15,0.7776619791984558
2024-02-16,0.7717919945716858
2024-02-17,0.7504600286483765
2024-02-18,0.7872809767723083
2024-02-19,0.7761420011520386
2024-02-20,0.7645630240440369
2024-02-21,0.7260509729385376
2024-02-22,0.7802450060844421
2024-02-23,0.7859110236167908
2024-02-24,0.7823219895362854
2024-02-25,0.8880900144577026
2024-02-26,0.9272900223731995
2024-02-27,0.88959801197052
2024-02-28,0.943606972694397
2024-02-29,0.8986350297927856
2024-03-01,0.9292659759521484
2024-03-02,0.9028509855270386
2024-03-03,0.8851519823074341
2024-03-04,0.9400359988212585
2024-03-05,0.9228439927101135
2024-03-06,0.974819004535675
2024-03-07,0.9833430051803589
2024-03-08,1.054834008216858
2024-03-09,1.0549019575119019
2024-03-10,1.0406500101089478
2024-03-11,1.0791349411010742
2024-03-12,1.0399019718170166
2024-03-13,1.0409820079803467
2024-03-14,0.9862689971923828
2024-03-15,0.8862429857254028
2024-03-16,0.8298060297966003
2024-03-17,0.8774510025978088
2024-03-18,0.8350340127944946
