Date,LEO-USD
2023-09-26,3.641554117202759
2023-09-27,3.6532320976257324
2023-09-28,3.635585069656372
2023-09-29,3.649646043777466
2023-09-30,3.65474009513855
2023-10-01,3.6550679206848145
2023-10-02,3.6749579906463623
2023-10-03,3.725728988647461
2023-10-04,3.764496088027954
2023-10-05,3.766407012939453
2023-10-06,3.8481268882751465
2023-10-07,3.8344500064849854
2023-10-08,3.725182056427002
2023-10-09,3.6762468814849854
2023-10-10,3.7041099071502686
2023-10-11,3.697314977645874
2023-10-12,3.7042291164398193
2023-10-13,3.7263050079345703
2023-10-14,3.747044086456299
2023-10-15,3.807008981704712
2023-10-16,3.684108018875122
2023-10-17,3.69576096534729
2023-10-18,3.7485129833221436
2023-10-19,3.939697027206421
2023-10-20,3.8585150241851807
2023-10-21,3.875761032104492
2023-10-22,3.896562099456787
2023-10-23,3.8606419563293457
2023-10-24,3.877976894378662
2023-10-25,4.0687408447265625
2023-10-26,3.9508230686187744
2023-10-27,4.006318092346191
2023-10-28,3.941051959991455
2023-10-29,3.977013111114502
2023-10-30,3.943356990814209
2023-10-31,3.9550321102142334
2023-11-01,3.9000120162963867
2023-11-02,3.9293529987335205
2023-11-03,3.960361957550049
2023-11-04,3.972548007965088
2023-11-05,3.95500111579895
2023-11-06,3.9682021141052246
2023-11-07,3.960076093673706
2023-11-08,4.05592679977417
2023-11-09,4.072109222412109
2023-11-10,4.061893939971924
2023-11-11,4.094483852386475
2023-11-12,4.153459072113037
2023-11-13,4.086493968963623
2023-11-14,4.067758083343506
2023-11-15,4.075830936431885
2023-11-16,4.040247917175293
2023-11-17,4.087057113647461
2023-11-18,4.07195520401001
2023-11-19,4.038247108459473
2023-11-20,3.9663379192352295
2023-11-21,3.9396450519561768
2023-11-22,4.058052062988281
2023-11-23,4.089418888092041
2023-11-24,4.090913772583008
2023-11-25,3.9725890159606934
2023-11-26,3.9928700923919678
2023-11-27,3.9804320335388184
2023-11-28,3.902647018432617
2023-11-29,3.975188970565796
2023-11-30,3.980276107788086
2023-12-01,3.9730288982391357
2023-12-02,3.882498025894165
2023-12-03,3.688209056854248
2023-12-04,3.7429730892181396
2023-12-05,3.7218170166015625
2023-12-06,3.7963790893554688
2023-12-07,3.8265740871429443
2023-12-08,3.7708399295806885
2023-12-09,3.7930328845977783
2023-12-10,3.804814100265503
2023-12-11,3.938270092010498
2023-12-12,3.7330150604248047
2023-12-13,3.6772871017456055
2023-12-14,3.6557469367980957
2023-12-15,3.708527088165283
2023-12-16,3.749277114868164
2023-12-17,3.7648580074310303
2023-12-18,3.7718610763549805
2023-12-19,3.835252046585083
2023-12-20,3.9017059803009033
2023-12-21,3.872431993484497
2023-12-22,3.9365859031677246
2023-12-23,3.9725680351257324
2023-12-24,3.9343628883361816
2023-12-25,3.9524130821228027
2023-12-26,3.946165084838867
2023-12-27,3.963284969329834
2023-12-28,3.9499709606170654
2023-12-29,3.94963002204895
2023-12-30,3.9521899223327637
2023-12-31,3.974224090576172
2024-01-01,3.972346067428589
2024-01-02,3.970196008682251
2024-01-03,4.025112152099609
2024-01-04,4.046992778778076
2024-01-05,4.05832576751709
2024-01-06,4.017106056213379
2024-01-07,3.995150089263916
2024-01-08,4.0128350257873535
2024-01-09,4.036122798919678
2024-01-10,4.07758903503418
2024-01-11,4.060653209686279
