Date,LINK-USD
2023-09-26,7.363938808441162
2023-09-27,7.642251014709473
2023-09-28,7.822662830352783
2023-09-29,7.954563140869141
2023-09-30,8.180992126464844
2023-10-01,8.047098159790039
2023-10-02,7.471463203430176
2023-10-03,7.419229030609131
2023-10-04,7.679328918457031
2023-10-05,7.474690914154053
2023-10-06,7.652021884918213
2023-10-07,7.532812118530273
2023-10-08,7.69350004196167
2023-10-09,7.283275127410889
2023-10-10,7.266600131988525
2023-10-11,7.393107891082764
2023-10-12,7.201082229614258
2023-10-13,7.259515762329102
2023-10-14,7.322572231292725
2023-10-15,7.422249794006348
2023-10-16,7.539670944213867
2023-10-17,7.332848072052002
2023-10-18,7.3619208335876465
2023-10-19,7.3109822273254395
2023-10-20,7.581277847290039
2023-10-21,8.90384578704834
2023-10-22,10.132683753967285
2023-10-23,10.546121597290039
2023-10-24,10.394031524658203
2023-10-25,11.026677131652832
2023-10-26,10.929611206054688
2023-10-27,11.204940795898438
2023-10-28,10.925374031066895
2023-10-29,11.103344917297363
2023-10-30,11.237469673156738
2023-10-31,11.37502670288086
2023-11-01,11.624006271362305
2023-11-02,11.004575729370117
2023-11-03,11.484772682189941
2023-11-04,11.49703598022461
2023-11-05,12.227702140808105
2023-11-06,13.009284019470215
2023-11-07,13.068292617797852
2023-11-08,14.93785572052002
2023-11-09,14.635876655578613
2023-11-10,15.509591102600098
2023-11-11,16.422510147094727
2023-11-12,16.001081466674805
2023-11-13,14.407805442810059
2023-11-14,13.968098640441895
2023-11-15,15.017497062683105
2023-11-16,13.88802433013916
2023-11-17,13.68433952331543
2023-11-18,13.74829387664795
2023-11-19,14.939276695251465
2023-11-20,14.465622901916504
2023-11-21,13.5319185256958
2023-11-22,14.236408233642578
2023-11-23,14.402031898498535
2023-11-24,14.46033000946045
2023-11-25,14.756277084350586
2023-11-26,14.789013862609863
2023-11-27,14.20132827758789
2023-11-28,14.519681930541992
2023-11-29,14.511725425720215
2023-11-30,14.404431343078613
2023-12-01,14.98322868347168
2023-12-02,15.994240760803223
2023-12-03,15.7426118850708
2023-12-04,15.764348983764648
2023-12-05,15.720780372619629
2023-12-06,15.29030704498291
2023-12-07,15.712053298950195
2023-12-08,16.942026138305664
2023-12-09,16.218416213989258
2023-12-10,16.333545684814453
2023-12-11,14.765364646911621
2023-12-12,14.521307945251465
2023-12-13,14.778791427612305
2023-12-14,15.393107414245605
2023-12-15,14.327272415161133
2023-12-16,14.318156242370605
2023-12-17,14.020898818969727
2023-12-18,14.645723342895508
2023-12-19,14.095596313476562
2023-12-20,14.225022315979004
2023-12-21,15.286552429199219
2023-12-22,15.497312545776367
2023-12-23,15.687339782714844
2023-12-24,15.31032657623291
2023-12-25,15.608394622802734
2023-12-26,15.090892791748047
2023-12-27,16.672073364257812
2023-12-28,16.051332473754883
2023-12-29,15.533926010131836
2023-12-30,15.19324779510498
2023-12-31,14.946123123168945
2024-01-01,15.535808563232422
2024-01-02,15.165292739868164
2024-01-03,14.150558471679688
2024-01-04,14.5540189743042
2024-01-05,14.065112113952637
2024-01-06,13.42838191986084
2024-01-07,13.140296936035156
2024-01-08,14.156993865966797
2024-01-09,13.705975532531738
2024-01-10,15.031819343566895
2024-01-11,15.032686233520508
2024-01-12,14.134305000305176
2024-01-13,14.364034652709961
2024-01-14,14.79709243774414
2024-01-15,15.195074081420898
2024-01-16,15.261761665344238
2024-01-17,15.730317115783691
2024-01-18,14.649992942810059
2024-01-19,16.04130744934082
2024-01-20,15.742375373840332
2024-01-21,15.391012191772461
2024-01-22,14.544947624206543
2024-01-23,14.274681091308594
2024-01-24,14.23513412475586
2024-01-25,13.757712364196777
2024-01-26,14.195534706115723
2024-01-27,14.34029769897461
2024-01-28,14.517561912536621
2024-01-29,14.988256454467773
2024-01-30,15.467368125915527
2024-01-31,15.39860725402832
2024-02-01,17.184246063232422
2024-02-02,17.791160583496094
2024-02-03,17.661924362182617
2024-02-04,18.17605972290039
2024-02-05,19.131561279296875
2024-02-06,18.29801368713379
2024-02-07,18.85492515563965
2024-02-08,18.231304168701172
2024-02-09,18.46788215637207
2024-02-10,19.091100692749023
2024-02-11,20.12895965576172
2024-02-12,20.491962432861328
2024-02-13,19.88628387451172
2024-02-14,20.277942657470703
2024-02-15,19.94938087463379
2024-02-16,19.57235336303711
2024-02-17,20.03460693359375
2024-02-18,20.096508026123047
2024-02-19,19.820606231689453
2024-02-20,19.295194625854492
2024-02-21,18.58225440979004
2024-02-22,18.112953186035156
2024-02-23,17.939098358154297
2024-02-24,18.52635955810547
2024-02-25,18.704635620117188
2024-02-26,19.116256713867188
2024-02-27,19.036426544189453
2024-02-28,19.431785583496094
2024-02-29,19.287715911865234
2024-03-01,20.0609073638916
2024-03-02,21.421598434448242
2024-03-03,20.513017654418945
2024-03-04,20.44875717163086
2024-03-05,19.010520935058594
2024-03-06,20.075965881347656
2024-03-07,20.127426147460938
2024-03-08,19.741352081298828
2024-03-09,20.028526306152344
2024-03-10,21.75461196899414
2024-03-11,21.289613723754883
2024-03-12,20.66677474975586
2024-03-13,20.7681884765625
2024-03-14,20.906293869018555
2024-03-15,19.60538673400879
2024-03-16,18.12628936767578
2024-03-17,18.674497604370117
2024-03-18,18.32435417175293
2024-03-19,16.809295654296875
2024-03-20,18.406482696533203
2024-03-21,18.43138313293457
2024-03-22,18.290664672851562
2024-03-23,18.07221794128418
2024-03-24,18.532669067382812
2024-03-25,19.359712600708008
2024-03-26,20.01067543029785
2024-03-27,19.302181243896484
2024-03-28,19.16071319580078
