Date,XLM-USD
2023-09-26,0.111845001578331
2023-09-27,0.11248400062322617
2023-09-28,0.11419100314378738
2023-09-29,0.11283999681472778
2023-09-30,0.11233100295066833
2023-10-01,0.11438799649477005
2023-10-02,0.11172500252723694
2023-10-03,0.11443299800157547
2023-10-04,0.11255499720573425
2023-10-05,0.11072500050067902
2023-10-06,0.11178400367498398
2023-10-07,0.11116699874401093
2023-10-08,0.11075499653816223
2023-10-09,0.1060200035572052
2023-10-10,0.10432200133800507
2023-10-11,0.10329300165176392
2023-10-12,0.1024319976568222
2023-10-13,0.10292500257492065
2023-10-14,0.10430099815130234
2023-10-15,0.10629399865865707
2023-10-16,0.10766100138425827
2023-10-17,0.10310699790716171
2023-10-18,0.10327599942684174
2023-10-19,0.10735899955034256
2023-10-20,0.10759399831295013
2023-10-21,0.11070699989795685
2023-10-22,0.11068899929523468
2023-10-23,0.11586599797010422
2023-10-24,0.11432100087404251
2023-10-25,0.11430700123310089
2023-10-26,0.1131410002708435
2023-10-27,0.11209999769926071
2023-10-28,0.11401999741792679
2023-10-29,0.11578600108623505
2023-10-30,0.11904600262641907
2023-10-31,0.12127800285816193
2023-11-01,0.12246199697256088
2023-11-02,0.11978700011968613
2023-11-03,0.12253600358963013
2023-11-04,0.12359999865293503
2023-11-05,0.12589800357818604
2023-11-06,0.13103799521923065
2023-11-07,0.12669500708580017
2023-11-08,0.12791000306606293
2023-11-09,0.12295900285243988
2023-11-10,0.12387300282716751
2023-11-11,0.1249219998717308
2023-11-12,0.1242000013589859
2023-11-13,0.12240699678659439
2023-11-14,0.11795400083065033
2023-11-15,0.12167199701070786
2023-11-16,0.11854200065135956
2023-11-17,0.11816100031137466
2023-11-18,0.11921899765729904
2023-11-19,0.12115699797868729
2023-11-20,0.1197659969329834
2023-11-21,0.11382400244474411
2023-11-22,0.11813099682331085
2023-11-23,0.11723999679088593
2023-11-24,0.11800999939441681
2023-11-25,0.12095800042152405
2023-11-26,0.1200060024857521
2023-11-27,0.11651899665594101
2023-11-28,0.1184149980545044
2023-11-29,0.11858200281858444
2023-11-30,0.11831200122833252
2023-12-01,0.11979400366544724
2023-12-02,0.12163300067186356
2023-12-03,0.12203200161457062
2023-12-04,0.12222699820995331
2023-12-05,0.12244600057601929
2023-12-06,0.12544000148773193
2023-12-07,0.12617400288581848
2023-12-08,0.13232499361038208
2023-12-09,0.13369199633598328
2023-12-10,0.13298599421977997
2023-12-11,0.1234930008649826
2023-12-12,0.12308099865913391
2023-12-13,0.12489599734544754
2023-12-14,0.12750400602817535
2023-12-15,0.12293899804353714
2023-12-16,0.12470100075006485
2023-12-17,0.12223300337791443
2023-12-18,0.12116199731826782
2023-12-19,0.11956000328063965
2023-12-20,0.12174200266599655
2023-12-21,0.12438700348138809
2023-12-22,0.12664499878883362
2023-12-23,0.12668900191783905
2023-12-24,0.12612900137901306
2023-12-25,0.13103599846363068
2023-12-26,0.1260019987821579
2023-12-27,0.13085299730300903
2023-12-28,0.1323619931936264
2023-12-29,0.12961900234222412
2023-12-30,0.1326110064983368
2023-12-31,0.12895900011062622
2024-01-01,0.13190500438213348
2024-01-02,0.1292870044708252
2024-01-03,0.12055200338363647
2024-01-04,0.12164399772882462
2024-01-05,0.1191290020942688
2024-01-06,0.12014199793338776
2024-01-07,0.1152309998869896
2024-01-08,0.11961600184440613
2024-01-09,0.11632999777793884
2024-01-10,0.12060599774122238
2024-01-11,0.12361100316047668
2024-01-12,0.11910700052976608
2024-01-13,0.12018299847841263
2024-01-14,0.11811500042676926
2024-01-15,0.11820100247859955
2024-01-16,0.11853999644517899
2024-01-17,0.1187480017542839
2024-01-18,0.11417800188064575
2024-01-19,0.11390700191259384
2024-01-20,0.1153699979186058
2024-01-21,0.11551299691200256
2024-01-22,0.11253699660301208
2024-01-23,0.11157599836587906
2024-01-24,0.11264099925756454
2024-01-25,0.11175999790430069
2024-01-26,0.11579299718141556
2024-01-27,0.11625400185585022
2024-01-28,0.11375799775123596
2024-01-29,0.11644600331783295
2024-01-30,0.11274100095033646
2024-01-31,0.10988999903202057
2024-02-01,0.10986799746751785
2024-02-02,0.11035999655723572
2024-02-03,0.11098899692296982
2024-02-04,0.10931199789047241
2024-02-05,0.10841699689626694
2024-02-06,0.10815100371837616
2024-02-07,0.10909000039100647
2024-02-08,0.10986900329589844
2024-02-09,0.11203400045633316
2024-02-10,0.11163599789142609
2024-02-11,0.11115200072526932
2024-02-12,0.11322599649429321
2024-02-13,0.1110529974102974
2024-02-14,0.11441600322723389
2024-02-15,0.11674699932336807
2024-02-16,0.11552800238132477
2024-02-17,0.11419499665498734
2024-02-18,0.1158669963479042
2024-02-19,0.11848500370979309
2024-02-20,0.11768999695777893
2024-02-21,0.11434400081634521
2024-02-22,0.11525800079107285
2024-02-23,0.11486099660396576
2024-02-24,0.11644700169563293
2024-02-25,0.1164420023560524
2024-02-26,0.11796700209379196
2024-02-27,0.12297199666500092
2024-02-28,0.12108100205659866
2024-02-29,0.12193900346755981
2024-03-01,0.12714900076389313
2024-03-02,0.1383489966392517
2024-03-03,0.1356319934129715
2024-03-04,0.1458750069141388
2024-03-05,0.13239899277687073
2024-03-06,0.13816000521183014
2024-03-07,0.14219099283218384
2024-03-08,0.14196999371051788
2024-03-09,0.14252899587154388
2024-03-10,0.13984300196170807
2024-03-11,0.1569889932870865
2024-03-12,0.1493930071592331
2024-03-13,0.15086500346660614
2024-03-14,0.1445470005273819
2024-03-15,0.1368190050125122
2024-03-16,0.129271999001503
2024-03-17,0.13215599954128265
