Date,XMR-USD
2023-09-26,144.81874084472656
2023-09-27,146.43409729003906
2023-09-28,146.061279296875
2023-09-29,146.8374786376953
2023-09-30,146.55426025390625
2023-10-01,149.16140747070312
2023-10-02,146.20343017578125
2023-10-03,147.15135192871094
2023-10-04,150.46905517578125
2023-10-05,149.62371826171875
2023-10-06,151.9922637939453
2023-10-07,155.21214294433594
2023-10-08,156.19122314453125
2023-10-09,153.79550170898438
2023-10-10,152.2156524658203
2023-10-11,153.84210205078125
2023-10-12,152.34181213378906
2023-10-13,153.59051513671875
2023-10-14,152.83316040039062
2023-10-15,152.44898986816406
2023-10-16,152.54409790039062
2023-10-17,150.52294921875
2023-10-18,149.80072021484375
2023-10-19,152.40997314453125
2023-10-20,154.82078552246094
2023-10-21,157.96884155273438
2023-10-22,158.96075439453125
2023-10-23,160.89657592773438
2023-10-24,158.01478576660156
2023-10-25,160.01058959960938
2023-10-26,159.65048217773438
2023-10-27,160.88645935058594
2023-10-28,162.1910400390625
2023-10-29,174.354248046875
2023-10-30,172.63192749023438
2023-10-31,172.35964965820312
2023-11-01,171.64329528808594
2023-11-02,171.00592041015625
2023-11-03,170.8539581298828
2023-11-04,168.39793395996094
2023-11-05,169.69207763671875
2023-11-06,165.37339782714844
2023-11-07,166.1260528564453
2023-11-08,167.31675720214844
2023-11-09,170.1363525390625
2023-11-10,171.14657592773438
2023-11-11,169.2417449951172
2023-11-12,171.1243438720703
2023-11-13,163.0098419189453
2023-11-14,163.25662231445312
2023-11-15,161.01268005371094
2023-11-16,160.79359436035156
2023-11-17,162.6995391845703
2023-11-18,160.80148315429688
2023-11-19,164.18600463867188
2023-11-20,163.22976684570312
2023-11-21,159.25559997558594
2023-11-22,163.281982421875
2023-11-23,166.0904083251953
2023-11-24,170.45811462402344
2023-11-25,172.01898193359375
2023-11-26,169.5430450439453
2023-11-27,165.53492736816406
2023-11-28,167.7353515625
2023-11-29,165.9646759033203
2023-11-30,169.78770446777344
2023-12-01,171.56866455078125
2023-12-02,172.67845153808594
2023-12-03,172.25978088378906
2023-12-04,170.47305297851562
2023-12-05,171.43524169921875
2023-12-06,170.6385955810547
2023-12-07,173.00216674804688
2023-12-08,174.18577575683594
2023-12-09,174.98721313476562
2023-12-10,175.762451171875
2023-12-11,171.65960693359375
2023-12-12,170.79005432128906
2023-12-13,169.2459716796875
2023-12-14,168.07864379882812
2023-12-15,168.2355194091797
2023-12-16,168.87841796875
2023-12-17,167.79757690429688
2023-12-18,173.56004333496094
2023-12-19,170.8850860595703
2023-12-20,174.5469207763672
2023-12-21,173.1640625
2023-12-22,176.84861755371094
2023-12-23,178.51332092285156
2023-12-24,171.4071807861328
2023-12-25,174.55996704101562
2023-12-26,174.09291076660156
2023-12-27,175.49197387695312
2023-12-28,175.26406860351562
2023-12-29,166.70054626464844
2023-12-30,165.771484375
2023-12-31,165.02818298339844
2024-01-01,169.6058349609375
2024-01-02,167.78675842285156
2024-01-03,154.57635498046875
2024-01-04,164.6814422607422
2024-01-05,155.90426635742188
2024-01-06,152.71849060058594
2024-01-07,146.12338256835938
2024-01-08,148.1824188232422
2024-01-09,144.32432556152344
2024-01-10,149.02235412597656
2024-01-11,152.8424835205078
2024-01-12,151.79833984375
2024-01-13,155.5477752685547
2024-01-14,154.16371154785156
2024-01-15,156.82427978515625
2024-01-16,157.42156982421875
2024-01-17,157.6599884033203
2024-01-18,153.0072021484375
2024-01-19,158.15859985351562
2024-01-20,156.57269287109375
2024-01-21,157.4999542236328
2024-01-22,150.6658477783203
2024-01-23,150.253173828125
2024-01-24,152.54086303710938
2024-01-25,157.44252014160156
2024-01-26,159.44122314453125
2024-01-27,160.43296813964844
2024-01-28,160.75698852539062
2024-01-29,168.0768585205078
2024-01-30,160.29220581054688
2024-01-31,163.8624725341797
2024-02-01,166.48394775390625
2024-02-02,168.65390014648438
2024-02-03,165.30084228515625
2024-02-04,165.7895965576172
2024-02-05,165.35585021972656
2024-02-06,104.9775161743164
2024-02-07,129.9530487060547
2024-02-08,127.91291046142578
2024-02-09,121.91533660888672
2024-02-10,119.20586395263672
2024-02-11,120.61019897460938
2024-02-12,126.22283935546875
2024-02-13,127.8083724975586
2024-02-14,127.89948272705078
2024-02-15,125.83844757080078
2024-02-16,122.75276947021484
2024-02-17,120.81099700927734
2024-02-18,122.18738555908203
2024-02-19,112.91376495361328
2024-02-20,123.8316421508789
2024-02-21,123.04864501953125
2024-02-22,124.04315948486328
2024-02-23,123.8436279296875
2024-02-24,123.87924194335938
2024-02-25,129.17430114746094
2024-02-26,129.61328125
2024-02-27,130.0612030029297
2024-02-28,133.8922882080078
2024-02-29,137.17356872558594
2024-03-01,142.98512268066406
2024-03-02,144.6387481689453
2024-03-03,150.08303833007812
2024-03-04,150.0133056640625
2024-03-05,141.4462127685547
2024-03-06,143.92916870117188
2024-03-07,144.28152465820312
2024-03-08,147.3660888671875
2024-03-09,143.8351593017578
2024-03-10,146.60830688476562
2024-03-11,145.20530700683594
2024-03-12,145.11422729492188
2024-03-13,150.22093200683594
2024-03-14,146.6106719970703
2024-03-15,142.0350799560547
2024-03-16,139.5149688720703
2024-03-17,140.99462890625
2024-03-18,141.03848266601562
2024-03-19,133.99168395996094
2024-03-20,139.61077880859375
2024-03-21,138.21041870117188
2024-03-22,134.7832489013672
2024-03-23,138.9109344482422
2024-03-24,141.8865966796875
2024-03-25,142.5869140625
2024-03-26,135.3273468017578
2024-03-27,137.9178466796875
2024-03-28,135.064208984375
2024-03-29,132.51348876953125
2024-03-30,129.12152099609375
