Date,USDC-USD
2023-09-26,1.0000790357589722
2023-09-27,1.000156044960022
2023-09-28,1.0000640153884888
2023-09-29,1.000095009803772
2023-09-30,1.0001059770584106
2023-10-01,1.0000900030136108
2023-10-02,1.0000300407409668
2023-10-03,1.000095009803772
2023-10-04,1.000393033027649
2023-10-05,0.9999489784240723
2023-10-06,0.9999909996986389
2023-10-07,0.9999600052833557
2023-10-08,0.9999690055847168
2023-10-09,0.9999020099639893
2023-10-10,0.9999759793281555
2023-10-11,0.999970018863678
2023-10-12,1.000108003616333
2023-10-13,1.0002390146255493
2023-10-14,1.0001130104064941
2023-10-15,1.0003139972686768
2023-10-16,1.0002069473266602
2023-10-17,1.0000239610671997
2023-10-18,1.000038981437683
2023-10-19,0.9999880194664001
2023-10-20,1.0000640153884888
2023-10-21,0.9999489784240723
2023-10-22,0.9999179840087891
2023-10-23,1.0000890493392944
2023-10-24,0.9999939799308777
2023-10-25,1.0001959800720215
2023-10-26,1.0000189542770386
2023-10-27,1.0
2023-10-28,1.0000560283660889
2023-10-29,1.000022053718567
2023-10-30,1.000167965888977
2023-10-31,0.9999399781227112
2023-11-01,1.0002330541610718
2023-11-02,1.0001200437545776
2023-11-03,1.0002490282058716
2023-11-04,1.0001749992370605
2023-11-05,0.9999970197677612
2023-11-06,0.9999840259552002
2023-11-07,1.0000280141830444
2023-11-08,1.000033974647522
2023-11-09,0.9999560117721558
2023-11-10,0.9995419979095459
2023-11-11,0.9997100234031677
2023-11-12,0.9996010065078735
2023-11-13,0.9999629855155945
2023-11-14,1.0000250339508057
2023-11-15,1.0000300407409668
2023-11-16,0.9999520182609558
2023-11-17,1.0001909732818604
2023-11-18,1.000072956085205
2023-11-19,0.9999759793281555
2023-11-20,0.9999690055847168
2023-11-21,1.0000460147857666
2023-11-22,0.9999819993972778
2023-11-23,0.9999560117721558
2023-11-24,0.9996320009231567
2023-11-25,0.9998869895935059
2023-11-26,0.9998679757118225
2023-11-27,0.9999989867210388
2023-11-28,0.9999139904975891
2023-11-29,1.000040054321289
2023-11-30,1.0000059604644775
2023-12-01,0.999796986579895
2023-12-02,0.9999529719352722
2023-12-03,0.9998959898948669
2023-12-04,0.9999210238456726
2023-12-05,1.00028395652771
2023-12-06,1.0000309944152832
2023-12-07,0.9999970197677612
2023-12-08,0.9999250173568726
2023-12-09,1.000195026397705
2023-12-10,1.0000280141830444
2023-12-11,1.0000799894332886
2023-12-12,1.0003050565719604
2023-12-13,1.0000029802322388
2023-12-14,0.9999769926071167
2023-12-15,1.0001699924468994
2023-12-16,0.9999729990959167
2023-12-17,1.0005459785461426
2023-12-18,1.0000309944152832
2023-12-19,1.0002570152282715
2023-12-20,1.0000269412994385
2023-12-21,0.9999819993972778
2023-12-22,1.0002050399780273
2023-12-23,1.0002479553222656
2023-12-24,1.0003089904785156
2023-12-25,1.000396966934204
2023-12-26,1.0003570318222046
2023-12-27,0.9999610185623169
2023-12-28,1.00075101852417
2023-12-29,1.0003429651260376
2023-12-30,1.0003299713134766
2023-12-31,1.0000699758529663
2024-01-01,1.0001310110092163
2024-01-02,1.000162959098816
2024-01-03,1.000182032585144
2024-01-04,0.9999790191650391
2024-01-05,1.0000510215759277
2024-01-06,1.0001130104064941
2024-01-07,0.9999799728393555
2024-01-08,0.9998549818992615
2024-01-09,0.9999920129776001
2024-01-10,0.9998149871826172
2024-01-11,1.000236988067627
2024-01-12,1.0002950429916382
2024-01-13,1.0001499652862549
2024-01-14,1.0001909732818604
2024-01-15,1.0005220174789429
2024-01-16,1.0002059936523438
2024-01-17,1.0001640319824219
2024-01-18,1.0002169609069824
2024-01-19,1.0001909732818604
2024-01-20,1.0000499486923218
2024-01-21,1.0000189542770386
2024-01-22,1.0000200271606445
2024-01-23,1.000087022781372
2024-01-24,1.0001790523529053
2024-01-25,1.000285029411316
2024-01-26,1.0001440048217773
2024-01-27,1.0000879764556885
2024-01-28,1.0001230239868164
2024-01-29,1.000175952911377
2024-01-30,1.0000560283660889
2024-01-31,1.0001740455627441
2024-02-01,1.0003440380096436
2024-02-02,1.000141978263855
2024-02-03,1.0001449584960938
2024-02-04,1.0001269578933716
2024-02-05,1.0000569820404053
2024-02-06,1.0002210140228271
2024-02-07,1.0000929832458496
2024-02-08,1.000048041343689
2024-02-09,0.9999250173568726
2024-02-10,1.0000139474868774
2024-02-11,0.9999420046806335
2024-02-12,0.9999729990959167
2024-02-13,1.0000959634780884
2024-02-14,1.0000319480895996
2024-02-15,0.9999639987945557
2024-02-16,1.0000089406967163
2024-02-17,1.0000649690628052
2024-02-18,1.0000519752502441
2024-02-19,0.9998760223388672
2024-02-20,0.9999309778213501
2024-02-21,1.0000309944152832
2024-02-22,1.000020980834961
2024-02-23,1.0000189542770386
2024-02-24,1.0001239776611328
2024-02-25,0.999875009059906
2024-02-26,0.9999499917030334
2024-02-27,0.9999210238456726
2024-02-28,0.9999520182609558
2024-02-29,0.999754011631012
2024-03-01,0.9999420046806335
2024-03-02,0.9997950196266174
2024-03-03,0.9998900294303894
2024-03-04,0.99993497133255
2024-03-05,0.9999979734420776
2024-03-06,0.999800980091095
2024-03-07,0.9997079968452454
2024-03-08,0.9998970031738281
2024-03-09,1.000038981437683
2024-03-10,0.9999949932098389
2024-03-11,0.9999570250511169
2024-03-12,0.9999539852142334
2024-03-13,0.9997689723968506
2024-03-14,0.9999319911003113
2024-03-15,1.0000369548797607
2024-03-16,1.000115990638733
2024-03-17,1.0001540184020996
2024-03-18,0.9999060034751892
2024-03-19,1.0000989437103271
