Date,ETH-USD
2023-09-26,1593.417236328125
2023-09-27,1597.4912109375
2023-09-28,1652.8826904296875
2023-09-29,1667.94384765625
2023-09-30,1671.161865234375
2023-10-01,1733.8104248046875
2023-10-02,1663.6275634765625
2023-10-03,1656.6856689453125
2023-10-04,1647.838134765625
2023-10-05,1611.4764404296875
2023-10-06,1645.83154296875
2023-10-07,1634.51123046875
2023-10-08,1633.548583984375
2023-10-09,1579.806640625
2023-10-10,1567.7130126953125
2023-10-11,1566.2547607421875
2023-10-12,1539.6124267578125
2023-10-13,1552.0894775390625
2023-10-14,1555.2568359375
2023-10-15,1558.06982421875
2023-10-16,1600.5343017578125
2023-10-17,1565.4395751953125
2023-10-18,1563.7498779296875
2023-10-19,1567.45703125
2023-10-20,1604.6668701171875
2023-10-21,1629.304443359375
2023-10-22,1663.429931640625
2023-10-23,1765.3826904296875
2023-10-24,1784.4375
2023-10-25,1787.3975830078125
2023-10-26,1804.039306640625
2023-10-27,1780.0452880859375
2023-10-28,1776.6181640625
2023-10-29,1795.5460205078125
2023-10-30,1810.088623046875
2023-10-31,1816.458984375
2023-11-01,1847.0897216796875
2023-11-02,1800.6209716796875
2023-11-03,1832.795166015625
2023-11-04,1857.6986083984375
2023-11-05,1894.15771484375
2023-11-06,1899.83740234375
2023-11-07,1888.124267578125
2023-11-08,1889.3223876953125
2023-11-09,2120.56103515625
2023-11-10,2078.289794921875
2023-11-11,2052.7138671875
2023-11-12,2045.18701171875
2023-11-13,2055.265380859375
2023-11-14,1979.0526123046875
2023-11-15,2060.408447265625
2023-11-16,1960.881591796875
2023-11-17,1961.28076171875
2023-11-18,1963.2850341796875
2023-11-19,2013.2044677734375
2023-11-20,2022.2391357421875
2023-11-21,1937.0667724609375
2023-11-22,2064.42529296875
2023-11-23,2062.210693359375
2023-11-24,2081.152099609375
2023-11-25,2084.4130859375
2023-11-26,2063.2861328125
2023-11-27,2027.4173583984375
2023-11-28,2049.338134765625
2023-11-29,2029.92919921875
2023-11-30,2052.55615234375
2023-12-01,2087.139892578125
2023-12-02,2165.7041015625
2023-12-03,2193.691650390625
2023-12-04,2243.2158203125
2023-12-05,2293.841796875
2023-12-06,2231.661376953125
2023-12-07,2357.57958984375
2023-12-08,2358.73193359375
2023-12-09,2341.17529296875
2023-12-10,2352.462646484375
2023-12-11,2224.578857421875
2023-12-12,2202.0380859375
2023-12-13,2260.648681640625
2023-12-14,2316.5791015625
2023-12-15,2219.33740234375
2023-12-16,2226.926513671875
2023-12-17,2196.481201171875
2023-12-18,2217.2734375
2023-12-19,2177.87255859375
2023-12-20,2201.911376953125
2023-12-21,2239.54248046875
2023-12-22,2326.52490234375
2023-12-23,2309.04638671875
2023-12-24,2265.692138671875
2023-12-25,2272.561767578125
2023-12-26,2231.46533203125
2023-12-27,2378.739990234375
2023-12-28,2347.566162109375
2023-12-29,2300.690673828125
2023-12-30,2292.0654296875
2023-12-31,2281.47119140625
2024-01-01,2352.327880859375
2024-01-02,2355.83642578125
2024-01-03,2210.761962890625
2024-01-04,2269.0380859375
2024-01-05,2268.647216796875
2024-01-06,2241.624755859375
2024-01-07,2222.865966796875
2024-01-08,2333.03271484375
2024-01-09,2344.8271484375
2024-01-10,2582.103515625
2024-01-11,2619.619140625
2024-01-12,2524.460205078125
2024-01-13,2576.597900390625
2024-01-14,2472.2412109375
2024-01-15,2511.36376953125
2024-01-16,2587.691162109375
2024-01-17,2528.369384765625
2024-01-18,2467.018798828125
2024-01-19,2489.49853515625
2024-01-20,2469.589111328125
2024-01-21,2453.9130859375
2024-01-22,2310.826416015625
2024-01-23,2240.68603515625
2024-01-24,2233.561767578125
2024-01-25,2217.710205078125
2024-01-26,2267.19970703125
2024-01-27,2267.885986328125
2024-01-28,2257.208740234375
2024-01-29,2317.064208984375
2024-01-30,2344.49365234375
2024-01-31,2282.54443359375
2024-02-01,2303.82470703125
2024-02-02,2308.0380859375
2024-02-03,2296.038330078125
2024-02-04,2289.546142578125
2024-02-05,2298.888916015625
2024-02-06,2372.201904296875
2024-02-07,2423.7451171875
2024-02-08,2419.906494140625
2024-02-09,2487.515625
2024-02-10,2501.228271484375
2024-02-11,2507.570556640625
2024-02-12,2658.115966796875
2024-02-13,2642.185302734375
2024-02-14,2777.90234375
2024-02-15,2824.37890625
2024-02-16,2803.69140625
2024-02-17,2786.672607421875
2024-02-18,2878.998046875
2024-02-19,2943.57470703125
2024-02-20,3013.503662109375
2024-02-21,2970.35546875
2024-02-22,2971.00732421875
2024-02-23,2921.658203125
2024-02-24,2992.385986328125
2024-02-25,3112.697265625
2024-02-26,3178.99365234375
2024-02-27,3244.519287109375
2024-02-28,3385.703857421875
2024-02-29,3341.919677734375
2024-03-01,3435.053955078125
2024-03-02,3422.0498046875
2024-03-03,3490.99365234375
2024-03-04,3630.433837890625
2024-03-05,3554.964599609375
2024-03-06,3819.226318359375
2024-03-07,3874.34765625
2024-03-08,3892.06103515625
2024-03-09,3915.4189453125
2024-03-10,3881.193115234375
2024-03-11,4066.445068359375
2024-03-12,3980.273193359375
2024-03-13,4006.45703125
2024-03-14,3883.140380859375
2024-03-15,3735.22021484375
2024-03-16,3522.860107421875
