Date,TON11419-USD
2023-09-26,2.1217830181121826
2023-09-27,2.16316294670105
2023-09-28,2.240325927734375
2023-09-29,2.168642044067383
2023-09-30,2.1131339073181152
2023-10-01,2.1270689964294434
2023-10-02,2.025830030441284
2023-10-03,2.036207914352417
2023-10-04,1.9570800065994263
2023-10-05,2.0654969215393066
2023-10-06,2.1471590995788574
2023-10-07,2.0638909339904785
2023-10-08,2.0489819049835205
2023-10-09,1.9795039892196655
2023-10-10,2.0094919204711914
2023-10-11,1.9947309494018555
2023-10-12,1.9351110458374023
2023-10-13,1.9398590326309204
2023-10-14,1.9223370552062988
2023-10-15,1.9258979558944702
2023-10-16,1.9609119892120361
2023-10-17,2.0984489917755127
2023-10-18,2.048192024230957
2023-10-19,2.0738649368286133
2023-10-20,2.0864551067352295
2023-10-21,2.1243040561676025
2023-10-22,2.1875619888305664
2023-10-23,2.1731760501861572
2023-10-24,2.1294610500335693
2023-10-25,2.1361610889434814
2023-10-26,2.1245739459991455
2023-10-27,2.0577900409698486
2023-10-28,2.0523509979248047
2023-10-29,2.058779001235962
2023-10-30,2.1210880279541016
2023-10-31,2.186302900314331
2023-11-01,2.199608087539673
2023-11-02,2.23523211479187
2023-11-03,2.2455899715423584
2023-11-04,2.226274013519287
2023-11-05,2.276510000228882
2023-11-06,2.4375529289245605
2023-11-07,2.54443097114563
2023-11-08,2.660245895385742
2023-11-09,2.4703569412231445
2023-11-10,2.4865059852600098
2023-11-11,2.381493091583252
2023-11-12,2.508368968963623
2023-11-13,2.35001802444458
2023-11-14,2.258694887161255
2023-11-15,2.389909029006958
2023-11-16,2.281038999557495
2023-11-17,2.316274881362915
2023-11-18,2.364274024963379
2023-11-19,2.372365951538086
2023-11-20,2.3297200202941895
2023-11-21,2.2932090759277344
2023-11-22,2.3944759368896484
2023-11-23,2.4197049140930176
2023-11-24,2.386957883834839
2023-11-25,2.3650829792022705
2023-11-26,2.3947179317474365
2023-11-27,2.4510879516601562
2023-11-28,2.437864065170288
2023-11-29,2.4274981021881104
2023-11-30,2.3884990215301514
2023-12-01,2.422210931777954
2023-12-02,2.4321579933166504
2023-12-03,2.417555093765259
2023-12-04,2.3983631134033203
2023-12-05,2.4270100593566895
2023-12-06,2.2897191047668457
2023-12-07,2.2681870460510254
2023-12-08,2.3346009254455566
2023-12-09,2.308958053588867
2023-12-10,2.33911395072937
2023-12-11,2.1447529792785645
2023-12-12,2.104763984680176
2023-12-13,2.2047929763793945
2023-12-14,2.2020509243011475
2023-12-15,2.1484971046447754
2023-12-16,2.2141690254211426
2023-12-17,2.151120901107788
2023-12-18,2.1102418899536133
2023-12-19,2.194118022918701
2023-12-20,2.2194719314575195
2023-12-21,2.243135929107666
2023-12-22,2.233081102371216
2023-12-23,2.2344820499420166
2023-12-24,2.173198938369751
2023-12-25,2.236844062805176
2023-12-26,2.178457021713257
2023-12-27,2.161221981048584
2023-12-28,2.1902968883514404
2023-12-29,2.2753570079803467
2023-12-30,2.3803141117095947
2023-12-31,2.310034990310669
2024-01-01,2.3367629051208496
2024-01-02,2.286613941192627
2024-01-03,2.2148449420928955
2024-01-04,2.1718881130218506
2024-01-05,2.0866289138793945
2024-01-06,2.1635921001434326
2024-01-07,2.2120931148529053
2024-01-08,2.2744250297546387
2024-01-09,2.187537908554077
2024-01-10,2.26228404045105
2024-01-11,2.229651927947998
2024-01-12,2.123215913772583
2024-01-13,2.110640048980713
2024-01-14,2.2794370651245117
2024-01-15,2.4397389888763428
2024-01-16,2.413412094116211
2024-01-17,2.278804063796997
2024-01-18,2.2302238941192627
2024-01-19,2.2019739151000977
2024-01-20,2.2694339752197266
2024-01-21,2.2219269275665283
2024-01-22,2.119117021560669
2024-01-23,2.119718074798584
2024-01-24,2.1186399459838867
2024-01-25,2.041440010070801
2024-01-26,2.0822160243988037
2024-01-27,2.085300922393799
2024-01-28,2.115976095199585
2024-01-29,2.1137239933013916
2024-01-30,2.082598924636841
2024-01-31,2.0665318965911865
2024-02-01,2.0776660442352295
2024-02-02,2.0456700325012207
2024-02-03,2.041059970855713
2024-02-04,2.0486340522766113
2024-02-05,2.0501270294189453
2024-02-06,2.0482850074768066
2024-02-07,2.0469160079956055
2024-02-08,2.0676519870758057
2024-02-09,2.0847620964050293
2024-02-10,2.0780398845672607
2024-02-11,2.0836288928985596
2024-02-12,2.2100460529327393
2024-02-13,2.163485050201416
2024-02-14,2.2029480934143066
2024-02-15,2.207257032394409
2024-02-16,2.152172088623047
2024-02-17,2.2311999797821045
2024-02-18,2.2711100578308105
2024-02-19,2.2708899974823
2024-02-20,2.2121050357818604
2024-02-21,2.1263608932495117
2024-02-22,2.085930109024048
2024-02-23,2.0777549743652344
2024-02-24,2.1108760833740234
2024-02-25,2.121121883392334
2024-02-26,2.1428229808807373
2024-02-27,2.1582388877868652
2024-02-28,2.5120959281921387
2024-02-29,2.481705904006958
2024-03-01,2.708828926086426
2024-03-02,2.721266984939575
2024-03-03,2.6763269901275635
2024-03-04,2.7384328842163086
2024-03-05,2.591797113418579
2024-03-06,2.6826798915863037
2024-03-07,2.7552740573883057
2024-03-08,2.8405520915985107
2024-03-09,2.8775289058685303
2024-03-10,2.8211159706115723
2024-03-11,3.2876389026641846
2024-03-12,4.082431793212891
2024-03-13,4.320505142211914
2024-03-14,4.029239177703857
2024-03-15,3.879646062850952
2024-03-16,3.5250580310821533
2024-03-17,3.8678340911865234
2024-03-18,3.8290390968322754
2024-03-19,3.7960360050201416
2024-03-20,4.231100082397461
2024-03-21,4.065403938293457
