Date,BGB-USD
2023-09-26,0.44734299182891846
2023-09-27,0.45006901025772095
2023-09-28,0.45393499732017517
2023-09-29,0.4537839889526367
2023-09-30,0.4517959952354431
2023-10-01,0.4535039961338043
2023-10-02,0.4541040062904358
2023-10-03,0.4561749994754791
2023-10-04,0.45666199922561646
2023-10-05,0.4550020098686218
2023-10-06,0.4582509994506836
2023-10-07,0.45515498518943787
2023-10-08,0.45090699195861816
2023-10-09,0.44447600841522217
2023-10-10,0.44526800513267517
2023-10-11,0.4385730028152466
2023-10-12,0.44192999601364136
2023-10-13,0.43502500653266907
2023-10-14,0.4302090108394623
2023-10-15,0.42843499779701233
2023-10-16,0.43213599920272827
2023-10-17,0.4161509871482849
2023-10-18,0.41599801182746887
2023-10-19,0.410631000995636
2023-10-20,0.4198789894580841
2023-10-21,0.4215390086174011
2023-10-22,0.42131298780441284
2023-10-23,0.4359720051288605
2023-10-24,0.44340500235557556
2023-10-25,0.4445759952068329
2023-10-26,0.4547309875488281
2023-10-27,0.4589259922504425
2023-10-28,0.4635840058326721
2023-10-29,0.46308600902557373
2023-10-30,0.47766101360321045
2023-10-31,0.4869459867477417
2023-11-01,0.4833349883556366
2023-11-02,0.487839013338089
2023-11-03,0.4823470115661621
2023-11-04,0.4780850112438202
2023-11-05,0.4710339903831482
2023-11-06,0.47322899103164673
2023-11-07,0.4904389977455139
2023-11-08,0.48379600048065186
2023-11-09,0.4819589853286743
2023-11-10,0.4819220006465912
2023-11-11,0.4849269986152649
2023-11-12,0.48388299345970154
2023-11-13,0.5728150010108948
2023-11-14,0.5319560170173645
2023-11-15,0.5364689826965332
2023-11-16,0.5138090252876282
2023-11-17,0.5311620235443115
2023-11-18,0.530987024307251
2023-11-19,0.5344759821891785
2023-11-20,0.5296300053596497
2023-11-21,0.5314710140228271
2023-11-22,0.5361070036888123
2023-11-23,0.5412240028381348
2023-11-24,0.5440189838409424
2023-11-25,0.550233006477356
2023-11-26,0.5446299910545349
2023-11-27,0.5359809994697571
2023-11-28,0.5459150075912476
2023-11-29,0.5402320027351379
2023-11-30,0.5394480228424072
2023-12-01,0.5338039994239807
2023-12-02,0.5160380005836487
2023-12-03,0.5222409963607788
2023-12-04,0.5150740146636963
2023-12-05,0.5120729804039001
2023-12-06,0.517661988735199
2023-12-07,0.5143740177154541
2023-12-08,0.5175250172615051
2023-12-09,0.51323002576828
2023-12-10,0.5055239796638489
2023-12-11,0.48888900876045227
2023-12-12,0.493835985660553
2023-12-13,0.4897649884223938
2023-12-14,0.4945800006389618
2023-12-15,0.5178850293159485
2023-12-16,0.5629969835281372
2023-12-17,0.5833359956741333
2023-12-18,0.6082209944725037
2023-12-19,0.6649990081787109
2023-12-20,0.6462929844856262
2023-12-21,0.6615660190582275
2023-12-22,0.6024680137634277
2023-12-23,0.6010100245475769
2023-12-24,0.5929690003395081
2023-12-25,0.5907689929008484
2023-12-26,0.5822870135307312
2023-12-27,0.584854006767273
2023-12-28,0.5737280249595642
2023-12-29,0.5731070041656494
2023-12-30,0.5756369829177856
2023-12-31,0.5794820189476013
2024-01-01,0.5966879725456238
2024-01-02,0.6043919920921326
2024-01-03,0.6279550194740295
2024-01-04,0.6716189980506897
2024-01-05,0.640250027179718
2024-01-06,0.6146469712257385
2024-01-07,0.6149770021438599
2024-01-08,0.6337800025939941
2024-01-09,0.6344550251960754
2024-01-10,0.6276760101318359
2024-01-11,0.6267079710960388
2024-01-12,0.6002690196037292
2024-01-13,0.6009659767150879
2024-01-14,0.6061580181121826
2024-01-15,0.6026710271835327
2024-01-16,0.6052389740943909
2024-01-17,0.6029340028762817
2024-01-18,0.6185320019721985
2024-01-19,0.5999950170516968
2024-01-20,0.6042330265045166
2024-01-21,0.5988559722900391
2024-01-22,0.5820459723472595
2024-01-23,0.5777199864387512
2024-01-24,0.5848569869995117
2024-01-25,0.5805310010910034
2024-01-26,0.5935239791870117
2024-01-27,0.5901479721069336
2024-01-28,0.5884969830513
2024-01-29,0.5907469987869263
2024-01-30,0.5979599952697754
2024-01-31,0.5965700149536133
2024-02-01,0.6215100288391113
2024-02-02,0.6320509910583496
2024-02-03,0.630731999874115
2024-02-04,0.6364589929580688
2024-02-05,0.6404449939727783
2024-02-06,0.6350110173225403
2024-02-07,0.6409149765968323
2024-02-08,0.6334400177001953
2024-02-09,0.6514049768447876
2024-02-10,0.6746169924736023
2024-02-11,0.6626759767532349
2024-02-12,0.664687991142273
2024-02-13,0.6778159737586975
2024-02-14,0.7273539900779724
2024-02-15,0.8736929893493652
2024-02-16,1.0208159685134888
2024-02-17,1.0629769563674927
2024-02-18,1.0402599573135376
2024-02-19,1.0276689529418945
2024-02-20,0.9676030278205872
2024-02-21,0.9473329782485962
2024-02-22,1.015476942062378
2024-02-23,0.99617999792099
2024-02-24,0.993025004863739
2024-02-25,1.0013320446014404
2024-02-26,1.0158840417861938
2024-02-27,1.0033090114593506
2024-02-28,0.9558410048484802
2024-02-29,0.9650499820709229
2024-03-01,0.9353389739990234
2024-03-02,0.9128109812736511
2024-03-03,0.9117029905319214
2024-03-04,0.9054700136184692
2024-03-05,0.8948879837989807
2024-03-06,0.9500550031661987
2024-03-07,0.9249250292778015
2024-03-08,0.8538740277290344
2024-03-09,0.8800230026245117
2024-03-10,0.8779019713401794
2024-03-11,0.9108480215072632
2024-03-12,0.8978639841079712
2024-03-13,0.917639970779419
2024-03-14,0.9041240215301514
2024-03-15,0.8854010105133057
2024-03-16,0.8613539934158325
2024-03-17,0.8675749897956848
2024-03-18,0.8770490288734436
