Date,WBETH-USD
2023-09-26,1618.944580078125
2023-09-27,1623.4483642578125
2023-09-28,1680.230712890625
2023-09-29,1695.2559814453125
2023-09-30,1699.3192138671875
2023-10-01,1762.989013671875
2023-10-02,1692.015625
2023-10-03,1685.0826416015625
2023-10-04,1675.932373046875
2023-10-05,1640.9361572265625
2023-10-06,1674.7261962890625
2023-10-07,1664.4149169921875
2023-10-08,1661.656494140625
2023-10-09,1608.36865234375
2023-10-10,1594.572021484375
2023-10-11,1593.64453125
2023-10-12,1565.955322265625
2023-10-13,1579.6531982421875
2023-10-14,1584.466552734375
2023-10-15,1586.9290771484375
2023-10-16,1630.6993408203125
2023-10-17,1593.9808349609375
2023-10-18,1592.756591796875
2023-10-19,1596.494384765625
2023-10-20,1634.107177734375
2023-10-21,1658.064208984375
2023-10-22,1693.5286865234375
2023-10-23,1799.3743896484375
2023-10-24,1815.5980224609375
2023-10-25,1818.669921875
2023-10-26,1836.3360595703125
2023-10-27,1813.94921875
2023-10-28,1810.1912841796875
2023-10-29,1830.632568359375
2023-10-30,1843.927734375
2023-10-31,1850.497802734375
2023-11-01,1883.236083984375
2023-11-02,1837.6556396484375
2023-11-03,1868.463134765625
2023-11-04,1893.6483154296875
2023-11-05,1932.5382080078125
2023-11-06,1939.025146484375
2023-11-07,1924.77978515625
2023-11-08,1929.31884765625
2023-11-09,2164.49365234375
2023-11-10,2120.124755859375
2023-11-11,2090.52685546875
2023-11-12,2085.996826171875
2023-11-13,2101.1923828125
2023-11-14,2020.9906005859375
2023-11-15,2102.073974609375
2023-11-16,2001.8924560546875
2023-11-17,1998.72265625
2023-11-18,2003.4066162109375
2023-11-19,2054.583740234375
2023-11-20,2064.992431640625
2023-11-21,1978.038818359375
2023-11-22,2109.535400390625
2023-11-23,2106.3154296875
2023-11-24,2124.206298828125
2023-11-25,2129.066650390625
2023-11-26,2109.18115234375
2023-11-27,2071.316650390625
2023-11-28,2094.531494140625
2023-11-29,2073.99658203125
2023-11-30,2098.287353515625
2023-12-01,2134.251708984375
2023-12-02,2215.64990234375
2023-12-03,2242.41943359375
2023-12-04,2292.742919921875
2023-12-05,2346.727783203125
2023-12-06,2281.084228515625
2023-12-07,2411.409423828125
2023-12-08,2414.03515625
2023-12-09,2392.30517578125
2023-12-10,2405.6689453125
2023-12-11,2274.364501953125
2023-12-12,2253.57421875
2023-12-13,2311.48486328125
2023-12-14,2369.519775390625
2023-12-15,2269.586669921875
2023-12-16,2276.2421875
2023-12-17,2249.89013671875
2023-12-18,2269.883544921875
2023-12-19,2228.399169921875
2023-12-20,2251.7392578125
2023-12-21,2291.84814453125
2023-12-22,2381.0927734375
2023-12-23,2366.248779296875
2023-12-24,2321.179443359375
2023-12-25,2327.619384765625
2023-12-26,2287.95556640625
2023-12-27,2439.096923828125
2023-12-28,2407.759765625
2023-12-29,2358.151123046875
2023-12-30,2350.036376953125
2023-12-31,2336.42431640625
2024-01-01,2408.36376953125
2024-01-02,2419.0986328125
2024-01-03,2266.194580078125
2024-01-04,2329.384521484375
2024-01-05,2323.343017578125
2024-01-06,2297.56640625
2024-01-07,2278.47412109375
2024-01-08,2392.091796875
2024-01-09,2405.31591796875
2024-01-10,2648.838134765625
2024-01-11,2691.69677734375
2024-01-12,2595.377197265625
2024-01-13,2644.817626953125
2024-01-14,2544.0390625
2024-01-15,2582.455322265625
2024-01-16,2659.113037109375
2024-01-17,2598.41796875
2024-01-18,2536.41162109375
2024-01-19,2557.686767578125
2024-01-20,2539.184326171875
2024-01-21,2520.88671875
2024-01-22,2377.198974609375
2024-01-23,2304.228515625
2024-01-24,2296.6689453125
2024-01-25,2280.824462890625
2024-01-26,2332.393310546875
2024-01-27,2333.34619140625
2024-01-28,2320.39111328125
2024-01-29,2377.873291015625
2024-01-30,2410.999755859375
2024-01-31,2348.739990234375
2024-02-01,2371.261474609375
2024-02-02,2375.104248046875
2024-02-03,2364.11767578125
2024-02-04,2355.425537109375
2024-02-05,2365.052978515625
2024-02-06,2440.824462890625
2024-02-07,2494.5751953125
2024-02-08,2490.530517578125
2024-02-09,2559.68212890625
2024-02-10,2575.676513671875
2024-02-11,2578.2978515625
2024-02-12,2734.753173828125
2024-02-13,2717.174072265625
2024-02-14,2857.745361328125
2024-02-15,2903.361328125
2024-02-16,2875.513427734375
2024-02-17,2866.7333984375
2024-02-18,2958.489990234375
2024-02-19,3027.452392578125
2024-02-20,3104.142822265625
2024-02-21,3055.572265625
2024-02-22,3062.138427734375
2024-02-23,3007.651123046875
2024-02-24,3078.412109375
2024-02-25,3201.2802734375
2024-02-26,3271.68408203125
2024-02-27,3339.69482421875
2024-02-28,3480.196533203125
2024-02-29,3437.59814453125
2024-03-01,3535.04638671875
2024-03-02,3520.31396484375
2024-03-03,3593.35986328125
2024-03-04,3740.23046875
2024-03-05,3662.111572265625
2024-03-06,3932.855224609375
2024-03-07,3993.910400390625
2024-03-08,4012.60595703125
2024-03-09,4038.047119140625
2024-03-10,4003.6572265625
2024-03-11,4193.2265625
2024-03-12,4104.5
2024-03-13,4135.24267578125
2024-03-14,4005.739013671875
2024-03-15,3852.30615234375
2024-03-16,3634.428955078125
2024-03-17,3762.5
2024-03-18,3633.95361328125
2024-03-19,3260.336669921875
2024-03-20,3622.919677734375
2024-03-21,3602.84521484375
2024-03-22,3435.555908203125
2024-03-23,3445.4375
2024-03-24,3572.81787109375
2024-03-25,3712.057861328125
2024-03-26,3707.447509765625
2024-03-27,3619.759765625
2024-03-28,3681.582763671875
2024-03-29,3631.617431640625
