Date,XRP-USD
2023-09-26,0.5017079710960388
2023-09-27,0.4995970129966736
2023-09-28,0.5095250010490417
2023-09-29,0.5217189788818359
2023-09-30,0.515404999256134
2023-10-01,0.5242040157318115
2023-10-02,0.51283198595047
2023-10-03,0.5383870005607605
2023-10-04,0.5329310297966003
2023-10-05,0.5233659744262695
2023-10-06,0.5261930227279663
2023-10-07,0.5219060182571411
2023-10-08,0.5179610252380371
2023-10-09,0.5032269954681396
2023-10-10,0.497435986995697
2023-10-11,0.48883798718452454
2023-10-12,0.48304998874664307
2023-10-13,0.48569899797439575
2023-10-14,0.4867750108242035
2023-10-15,0.4878459870815277
2023-10-16,0.49797698855400085
2023-10-17,0.49169400334358215
2023-10-18,0.4883190095424652
2023-10-19,0.52012699842453
2023-10-20,0.5160040259361267
2023-10-21,0.5212429761886597
2023-10-22,0.5224869847297668
2023-10-23,0.5468699932098389
2023-10-24,0.5585319995880127
2023-10-25,0.5553060173988342
2023-10-26,0.5536829829216003
2023-10-27,0.5461069941520691
2023-10-28,0.5453910231590271
2023-10-29,0.5563939809799194
2023-10-30,0.5789440274238586
2023-10-31,0.6002820134162903
2023-11-01,0.6095380187034607
2023-11-02,0.6064389944076538
2023-11-03,0.6130020022392273
2023-11-04,0.6161839962005615
2023-11-05,0.6611469984054565
2023-11-06,0.715516984462738
2023-11-07,0.6864020228385925
2023-11-08,0.6880760192871094
2023-11-09,0.6674749851226807
2023-11-10,0.6605749726295471
2023-11-11,0.6627349853515625
2023-11-12,0.6615359783172607
2023-11-13,0.6715239882469177
2023-11-14,0.6296730041503906
2023-11-15,0.6496480107307434
2023-11-16,0.61216801404953
2023-11-17,0.6137170195579529
2023-11-18,0.6111890077590942
2023-11-19,0.627498984336853
2023-11-20,0.6128420233726501
2023-11-21,0.5804619789123535
2023-11-22,0.6118990182876587
2023-11-23,0.6202419996261597
2023-11-24,0.6218810081481934
2023-11-25,0.6234440207481384
2023-11-26,0.6168190240859985
2023-11-27,0.6041529774665833
2023-11-28,0.6114220023155212
2023-11-29,0.609358012676239
2023-11-30,0.606357991695404
2023-12-01,0.6129149794578552
2023-12-02,0.6209759712219238
2023-12-03,0.6237229704856873
2023-12-04,0.6243739724159241
2023-12-05,0.6219969987869263
2023-12-06,0.6403329968452454
2023-12-07,0.6436319947242737
2023-12-08,0.6731380224227905
2023-12-09,0.658814013004303
2023-12-10,0.6615779995918274
2023-12-11,0.6202110052108765
2023-12-12,0.6195489764213562
2023-12-13,0.6284859776496887
2023-12-14,0.6324319839477539
2023-12-15,0.6154919862747192
2023-12-16,0.6198350191116333
2023-12-17,0.6104180216789246
2023-12-18,0.612529993057251
2023-12-19,0.6054559946060181
2023-12-20,0.6173189878463745
2023-12-21,0.6239100098609924
2023-12-22,0.6254019737243652
2023-12-23,0.6202049851417542
2023-12-24,0.6135179996490479
2023-12-25,0.6463369727134705
2023-12-26,0.6223689913749695
2023-12-27,0.6348559856414795
2023-12-28,0.6349980235099792
2023-12-29,0.6234019994735718
2023-12-30,0.6218439936637878
2023-12-31,0.6149410009384155
2024-01-01,0.6300820112228394
2024-01-02,0.6253629922866821
2024-01-03,0.5825799703598022
2024-01-04,0.5882260203361511
2024-01-05,0.5764859914779663
2024-01-06,0.5685120224952698
2024-01-07,0.5517410039901733
2024-01-08,0.5779229998588562
2024-01-09,0.5666329860687256
2024-01-10,0.5999889969825745
2024-01-11,0.6020950078964233
2024-01-12,0.5702990293502808
2024-01-13,0.575078010559082
2024-01-14,0.5762330293655396
2024-01-15,0.5759199857711792
2024-01-16,0.5759469866752625
2024-01-17,0.5679730176925659
2024-01-18,0.5519070029258728
2024-01-19,0.5442559719085693
2024-01-20,0.5531259775161743
2024-01-21,0.546110987663269
2024-01-22,0.5267159938812256
2024-01-23,0.5177369713783264
2024-01-24,0.5179880261421204
2024-01-25,0.5136060118675232
2024-01-26,0.5321890115737915
2024-01-27,0.5302600264549255
2024-01-28,0.5240939855575562
2024-01-29,0.5350900292396545
2024-01-30,0.5106980204582214
2024-01-31,0.5031930208206177
2024-02-01,0.5058590173721313
2024-02-02,0.5104119777679443
2024-02-03,0.5189390182495117
2024-02-04,0.5032879710197449
2024-02-05,0.5062440037727356
2024-02-06,0.5051530003547668
2024-02-07,0.5137889981269836
2024-02-08,0.5145289897918701
2024-02-09,0.5260310173034668
2024-02-10,0.5241119861602783
2024-02-11,0.5260840058326721
2024-02-12,0.5318970084190369
2024-02-13,0.5248349905014038
2024-02-14,0.5384010076522827
2024-02-15,0.5627549886703491
2024-02-16,0.5649600028991699
2024-02-17,0.5498859882354736
2024-02-18,0.5569030046463013
2024-02-19,0.5625969767570496
2024-02-20,0.5629220008850098
2024-02-21,0.5490040183067322
2024-02-22,0.540913999080658
2024-02-23,0.5345339775085449
2024-02-24,0.545117974281311
2024-02-25,0.5424249768257141
2024-02-26,0.5514050126075745
2024-02-27,0.5862579941749573
2024-02-28,0.5758110284805298
2024-02-29,0.5863249897956848
2024-03-01,0.6018900275230408
2024-03-02,0.64485102891922
2024-03-03,0.6270719766616821
2024-03-04,0.6501330137252808
2024-03-05,0.5929009914398193
2024-03-06,0.6122530102729797
2024-03-07,0.6286240220069885
2024-03-08,0.6219549775123596
2024-03-09,0.6218050122261047
2024-03-10,0.6084319949150085
2024-03-11,0.7180359959602356
2024-03-12,0.6882089972496033
2024-03-13,0.6909499764442444
2024-03-14,0.669966995716095
2024-03-15,0.6337370276451111
2024-03-16,0.6030600070953369
2024-03-17,0.6192319989204407
2024-03-18,0.6475650072097778
