Date,UNI7083-USD
2023-09-26,4.254613876342773
2023-09-27,4.247224807739258
2023-09-28,4.416313171386719
2023-09-29,4.401975154876709
2023-09-30,4.459536075592041
2023-10-01,4.653102874755859
2023-10-02,4.4645891189575195
2023-10-03,4.361480236053467
2023-10-04,4.310655117034912
2023-10-05,4.3029398918151855
2023-10-06,4.393379211425781
2023-10-07,4.369304180145264
2023-10-08,4.342412948608398
2023-10-09,4.139949798583984
2023-10-10,4.117125988006592
2023-10-11,4.1231231689453125
2023-10-12,4.002319812774658
2023-10-13,4.0283942222595215
2023-10-14,4.086541175842285
2023-10-15,4.103588104248047
2023-10-16,4.130184173583984
2023-10-17,3.887598991394043
2023-10-18,3.935676097869873
2023-10-19,3.9294650554656982
2023-10-20,3.998684883117676
2023-10-21,4.139873027801514
2023-10-22,4.204259872436523
2023-10-23,4.368028163909912
2023-10-24,4.213825225830078
2023-10-25,4.167191028594971
2023-10-26,4.106663227081299
2023-10-27,4.0289530754089355
2023-10-28,4.082338809967041
2023-10-29,4.1537299156188965
2023-10-30,4.179482936859131
2023-10-31,4.146944046020508
2023-11-01,4.770596027374268
2023-11-02,4.695160865783691
2023-11-03,4.661306858062744
2023-11-04,4.713796138763428
2023-11-05,4.784180164337158
2023-11-06,5.11506986618042
2023-11-07,4.936863899230957
2023-11-08,5.190433979034424
2023-11-09,5.147253036499023
2023-11-10,5.286929130554199
2023-11-11,5.398281097412109
2023-11-12,5.412820816040039
2023-11-13,5.246035099029541
2023-11-14,5.052929878234863
2023-11-15,5.38339376449585
2023-11-16,5.206783771514893
2023-11-17,5.095816135406494
2023-11-18,5.064004898071289
2023-11-19,5.2415242195129395
2023-11-20,5.185031890869141
2023-11-21,4.881583213806152
2023-11-22,6.114483833312988
2023-11-23,6.355032920837402
2023-11-24,6.169690132141113
2023-11-25,6.175972938537598
2023-11-26,6.1722412109375
2023-11-27,6.291791915893555
2023-11-28,6.156300067901611
2023-11-29,6.02117395401001
2023-11-30,5.951752185821533
2023-12-01,6.018907070159912
2023-12-02,6.171487808227539
2023-12-03,6.06355619430542
2023-12-04,6.096073150634766
2023-12-05,6.259875774383545
2023-12-06,5.996006965637207
2023-12-07,6.287162780761719
2023-12-08,6.528605937957764
2023-12-09,6.831127166748047
2023-12-10,6.597230911254883
2023-12-11,6.1018781661987305
2023-12-12,6.231098175048828
2023-12-13,6.292986869812012
2023-12-14,6.357858180999756
2023-12-15,6.032073020935059
2023-12-16,6.153510093688965
2023-12-17,6.07070779800415
2023-12-18,5.9363508224487305
2023-12-19,5.83469820022583
2023-12-20,5.9201250076293945
2023-12-21,6.176539897918701
2023-12-22,6.41383695602417
2023-12-23,6.348168849945068
2023-12-24,6.863560199737549
2023-12-25,6.96827507019043
2023-12-26,7.361538887023926
2023-12-27,7.2480878829956055
2023-12-28,7.8398919105529785
2023-12-29,7.570669174194336
2023-12-30,7.382400035858154
2023-12-31,7.229169845581055
2024-01-01,7.602206230163574
2024-01-02,7.178284168243408
2024-01-03,6.431077003479004
2024-01-04,6.5368242263793945
2024-01-05,6.425006866455078
2024-01-06,6.309966087341309
2024-01-07,6.003040790557861
2024-01-08,6.227688789367676
2024-01-09,6.015432834625244
2024-01-10,6.556903839111328
2024-01-11,6.821934223175049
2024-01-12,6.599130153656006
2024-01-13,6.637123107910156
2024-01-14,6.320847988128662
2024-01-15,6.671494007110596
2024-01-16,6.824957847595215
2024-01-17,6.764327049255371
2024-01-18,6.308525085449219
2024-01-19,6.345337867736816
2024-01-20,6.479702949523926
2024-01-21,6.365719795227051
2024-01-22,6.034421920776367
2024-01-23,5.836124897003174
2024-01-24,5.864256858825684
2024-01-25,5.748012065887451
2024-01-26,5.951043128967285
2024-01-27,5.985330104827881
2024-01-28,5.940619945526123
2024-01-29,6.140395164489746
2024-01-30,6.2566142082214355
2024-01-31,5.9977288246154785
2024-02-01,6.04433012008667
2024-02-02,6.131737232208252
2024-02-03,6.106339931488037
2024-02-04,5.980871200561523
2024-02-05,5.997045993804932
2024-02-06,6.275889873504639
2024-02-07,6.391050815582275
2024-02-08,6.31751012802124
2024-02-09,6.649880886077881
2024-02-10,6.628986835479736
2024-02-11,6.6784539222717285
2024-02-12,6.836288928985596
2024-02-13,6.687158107757568
2024-02-14,6.885101795196533
2024-02-15,7.498691082000732
2024-02-16,7.449375152587891
2024-02-17,7.764502048492432
2024-02-18,7.64572811126709
2024-02-19,7.698410987854004
2024-02-20,7.555159091949463
2024-02-21,7.393539905548096
2024-02-22,7.346941947937012
2024-02-23,11.336981773376465
2024-02-24,11.252886772155762
2024-02-25,11.094219207763672
2024-02-26,10.592780113220215
2024-02-27,10.856444358825684
2024-02-28,10.934173583984375
2024-02-29,11.133665084838867
2024-03-01,11.60823917388916
2024-03-02,12.639854431152344
2024-03-03,12.624555587768555
2024-03-04,12.378145217895508
2024-03-05,13.121344566345215
2024-03-06,15.38644027709961
2024-03-07,14.908987045288086
2024-03-08,14.643575668334961
2024-03-09,14.220193862915039
2024-03-10,14.200188636779785
2024-03-11,14.432759284973145
2024-03-12,14.059793472290039
2024-03-13,14.216856002807617
2024-03-14,13.954874038696289
2024-03-15,13.05359172821045
2024-03-16,12.032231330871582
2024-03-17,12.534980773925781
2024-03-18,11.87051773071289
2024-03-19,10.630629539489746
2024-03-20,11.923258781433105
2024-03-21,12.188285827636719
2024-03-22,11.721641540527344
2024-03-23,11.633407592773438
2024-03-24,12.030710220336914
2024-03-25,12.433558464050293
2024-03-26,12.708931922912598
2024-03-27,12.246041297912598
