Date,WSTETH-USD
2023-09-26,1815.684814453125
2023-09-27,1822.9259033203125
2023-09-28,1882.37060546875
2023-09-29,1903.761474609375
2023-09-30,1905.637939453125
2023-10-01,1977.4764404296875
2023-10-02,1899.8233642578125
2023-10-03,1889.6807861328125
2023-10-04,1880.42529296875
2023-10-05,1841.2994384765625
2023-10-06,1876.0860595703125
2023-10-07,1865.16552734375
2023-10-08,1864.1971435546875
2023-10-09,1803.4652099609375
2023-10-10,1789.8245849609375
2023-10-11,1782.9345703125
2023-10-12,1757.071044921875
2023-10-13,1771.1971435546875
2023-10-14,1776.971435546875
2023-10-15,1780.7276611328125
2023-10-16,1827.9625244140625
2023-10-17,1788.8900146484375
2023-10-18,1783.6646728515625
2023-10-19,1789.8016357421875
2023-10-20,1834.5401611328125
2023-10-21,1864.6312255859375
2023-10-22,1900.0294189453125
2023-10-23,2017.1710205078125
2023-10-24,2039.019287109375
2023-10-25,2047.408447265625
2023-10-26,2062.742431640625
2023-10-27,2038.447021484375
2023-10-28,2032.1021728515625
2023-10-29,2056.200927734375
2023-10-30,2071.77197265625
2023-10-31,2081.6162109375
2023-11-01,2115.197265625
2023-11-02,2064.812255859375
2023-11-03,2096.73388671875
2023-11-04,2125.49853515625
2023-11-05,2170.51123046875
2023-11-06,2176.443359375
2023-11-07,2164.15185546875
2023-11-08,2165.8232421875
2023-11-09,2427.780029296875
2023-11-10,2384.2744140625
2023-11-11,2346.996826171875
2023-11-12,2340.1455078125
2023-11-13,2358.434326171875
2023-11-14,2269.99853515625
2023-11-15,2360.112060546875
2023-11-16,2249.310302734375
2023-11-17,2244.294921875
2023-11-18,2251.3984375
2023-11-19,2306.20849609375
2023-11-20,2320.60107421875
2023-11-21,2225.747314453125
2023-11-22,2369.298828125
2023-11-23,2365.984130859375
2023-11-24,2384.57763671875
2023-11-25,2393.24658203125
2023-11-26,2369.162353515625
2023-11-27,2324.359375
2023-11-28,2350.863037109375
2023-11-29,2330.66455078125
2023-11-30,2352.408203125
2023-12-01,2397.42333984375
2023-12-02,2482.642333984375
2023-12-03,2516.99462890625
2023-12-04,2573.69580078125
2023-12-05,2631.681396484375
2023-12-06,2563.495361328125
2023-12-07,2707.825927734375
2023-12-08,2712.583740234375
2023-12-09,2686.947509765625
2023-12-10,2699.8515625
2023-12-11,2551.682373046875
2023-12-12,2531.238525390625
2023-12-13,2599.032958984375
2023-12-14,2660.005615234375
2023-12-15,2549.314453125
2023-12-16,2556.669189453125
2023-12-17,2527.171142578125
2023-12-18,2543.944580078125
2023-12-19,2501.9033203125
2023-12-20,2523.544677734375
2023-12-21,2573.209228515625
2023-12-22,2672.470947265625
2023-12-23,2651.845458984375
2023-12-24,2604.555419921875
2023-12-25,2614.778564453125
2023-12-26,2563.5791015625
2023-12-27,2732.90966796875
2023-12-28,2699.8779296875
2023-12-29,2641.50927734375
2023-12-30,2636.317626953125
2023-12-31,2620.879638671875
2024-01-01,2699.93017578125
2024-01-02,2711.393310546875
2024-01-03,2544.400146484375
2024-01-04,2619.5263671875
2024-01-05,2594.958984375
2024-01-06,2580.201416015625
2024-01-07,2557.502197265625
2024-01-08,2689.700927734375
2024-01-09,2659.14208984375
2024-01-10,2953.135009765625
2024-01-11,3004.68017578125
2024-01-12,2917.802734375
2024-01-13,2966.132080078125
2024-01-14,2873.678466796875
2024-01-15,2907.377685546875
2024-01-16,2988.54052734375
2024-01-17,2915.439208984375
2024-01-18,2840.3095703125
2024-01-19,2867.996826171875
2024-01-20,2848.508544921875
2024-01-21,2840.390625
2024-01-22,2682.2099609375
2024-01-23,2573.829345703125
2024-01-24,2569.9296875
2024-01-25,2558.73974609375
2024-01-26,2610.435791015625
2024-01-27,2617.14208984375
2024-01-28,2600.34912109375
2024-01-29,2667.009521484375
2024-01-30,2721.58349609375
2024-01-31,2645.65869140625
2024-02-01,2654.5205078125
2024-02-02,2661.02099609375
2024-02-03,2656.4814453125
2024-02-04,2648.878173828125
2024-02-05,2653.73486328125
2024-02-06,2747.02001953125
2024-02-07,2799.220458984375
2024-02-08,2804.811767578125
2024-02-09,2880.625732421875
2024-02-10,2885.860107421875
2024-02-11,2896.8671875
2024-02-12,3051.88525390625
2024-02-13,3045.23193359375
2024-02-14,3202.522705078125
2024-02-15,3264.74267578125
2024-02-16,3228.717041015625
2024-02-17,3211.062255859375
2024-02-18,3321.4541015625
2024-02-19,3397.0439453125
2024-02-20,3471.112060546875
2024-02-21,3409.475341796875
2024-02-22,3447.21337890625
2024-02-23,3393.30029296875
2024-02-24,3459.037109375
2024-02-25,3591.39453125
2024-02-26,3677.385986328125
2024-02-27,3760.528076171875
2024-02-28,3871.669921875
2024-02-29,3891.24560546875
2024-03-01,3975.230712890625
2024-03-02,3954.52783203125
2024-03-03,4024.9921875
2024-03-04,4159.47705078125
2024-03-05,4090.765869140625
2024-03-06,4425.8564453125
2024-03-07,4476.52880859375
2024-03-08,4522.48291015625
2024-03-09,4534.20361328125
2024-03-10,4496.9912109375
2024-03-11,4700.82177734375
2024-03-12,4593.42431640625
2024-03-13,4633.53515625
2024-03-14,4485.3271484375
2024-03-15,4292.9306640625
2024-03-16,4085.8154296875
2024-03-17,4214.39013671875
2024-03-18,4077.546142578125
2024-03-19,3725.8125
2024-03-20,4035.57568359375
2024-03-21,4043.640380859375
2024-03-22,3832.034423828125
2024-03-23,3911.8984375
2024-03-24,3976.968994140625
2024-03-25,4179.240234375
2024-03-26,4163.58740234375
2024-03-27,4058.99267578125
2024-03-28,4131.154296875
2024-03-29,4067.616455078125
