Date,TAO22974-USD
2023-09-26,58.67494583129883
2023-09-27,56.09391403198242
2023-09-28,56.753482818603516
2023-09-29,55.61326217651367
2023-09-30,55.0455436706543
2023-10-01,54.91689682006836
2023-10-02,52.361549377441406
2023-10-03,52.87150192260742
2023-10-04,52.874717712402344
2023-10-05,51.785926818847656
2023-10-06,52.48891067504883
2023-10-07,51.01155090332031
2023-10-08,49.02659225463867
2023-10-09,49.79704284667969
2023-10-10,50.39060974121094
2023-10-11,49.05962371826172
2023-10-12,48.64225769042969
2023-10-13,49.02947998046875
2023-10-14,48.49457550048828
2023-10-15,48.26795959472656
2023-10-16,47.77483367919922
2023-10-17,48.88097381591797
2023-10-18,48.07353591918945
2023-10-19,46.519859313964844
2023-10-20,49.65278244018555
2023-10-21,50.53707504272461
2023-10-22,51.51988220214844
2023-10-23,51.462684631347656
2023-10-24,66.90304565429688
2023-10-25,71.02039337158203
2023-10-26,69.4705581665039
2023-10-27,69.86813354492188
2023-10-28,75.26077270507812
2023-10-29,79.88101959228516
2023-10-30,82.1581802368164
2023-10-31,85.2600326538086
2023-11-01,86.47575378417969
2023-11-02,91.52084350585938
2023-11-03,88.96831512451172
2023-11-04,95.26422882080078
2023-11-05,111.41929626464844
2023-11-06,132.60585021972656
2023-11-07,128.3488006591797
2023-11-08,138.8899688720703
2023-11-09,130.3004913330078
2023-11-10,132.57791137695312
2023-11-11,153.40122985839844
2023-11-12,147.60044860839844
2023-11-13,141.21482849121094
2023-11-14,136.07391357421875
2023-11-15,166.06631469726562
2023-11-16,161.576416015625
2023-11-17,195.16273498535156
2023-11-18,231.84512329101562
2023-11-19,249.5565643310547
2023-11-20,287.7034606933594
2023-11-21,226.27696228027344
2023-11-22,240.81373596191406
2023-11-23,240.41001892089844
2023-11-24,277.5108337402344
2023-11-25,277.1864013671875
2023-11-26,272.0300598144531
2023-11-27,244.00831604003906
2023-11-28,247.21847534179688
2023-11-29,247.35345458984375
2023-11-30,287.9706726074219
2023-12-01,294.0996398925781
2023-12-02,294.18365478515625
2023-12-03,335.334716796875
2023-12-04,342.297607421875
2023-12-05,340.8543701171875
2023-12-06,323.3700866699219
2023-12-07,323.3925476074219
2023-12-08,343.0879821777344
2023-12-09,343.7845458984375
2023-12-10,347.9684753417969
2023-12-11,330.2679443359375
2023-12-12,325.7699279785156
2023-12-13,337.1163024902344
2023-12-14,379.03521728515625
2023-12-15,354.77215576171875
2023-12-16,343.365966796875
2023-12-17,319.7337646484375
2023-12-18,330.7489929199219
2023-12-19,318.5606384277344
2023-12-20,316.5872802734375
2023-12-21,308.5630798339844
2023-12-22,277.4846496582031
2023-12-23,283.65948486328125
2023-12-24,279.7139587402344
2023-12-25,274.51226806640625
2023-12-26,265.20831298828125
2023-12-27,314.47320556640625
2023-12-28,304.4967041015625
2023-12-29,275.8028259277344
2023-12-30,277.8972473144531
2023-12-31,266.39825439453125
2024-01-01,270.5154724121094
2024-01-02,266.6148681640625
2024-01-03,251.78897094726562
2024-01-04,255.623046875
2024-01-05,244.9861602783203
2024-01-06,239.52545166015625
2024-01-07,219.3927001953125
2024-01-08,256.5253601074219
2024-01-09,244.4712677001953
2024-01-10,238.92127990722656
2024-01-11,233.05723571777344
2024-01-12,222.55970764160156
2024-01-13,229.73941040039062
2024-01-14,219.6539764404297
2024-01-15,221.54331970214844
2024-01-16,255.99462890625
2024-01-17,266.6571044921875
2024-01-18,254.36866760253906
2024-01-19,245.8177947998047
2024-01-20,250.7997283935547
2024-01-21,255.03712463378906
2024-01-22,249.7611083984375
2024-01-23,268.7757873535156
2024-01-24,323.0867919921875
2024-01-25,326.3064270019531
2024-01-26,342.7858581542969
2024-01-27,359.83685302734375
2024-01-28,357.6094665527344
2024-01-29,392.1961364746094
2024-01-30,424.0012512207031
2024-01-31,468.2592468261719
2024-02-01,449.0403137207031
2024-02-02,431.5206604003906
2024-02-03,431.5748596191406
2024-02-04,419.0676574707031
2024-02-05,448.4615173339844
2024-02-06,490.1307678222656
2024-02-07,438.7174987792969
2024-02-08,453.7759704589844
2024-02-09,542.5131225585938
2024-02-10,578.2849731445312
2024-02-11,535.777587890625
2024-02-12,540.8229370117188
2024-02-13,581.6115112304688
2024-02-14,618.7313232421875
2024-02-15,674.1320190429688
2024-02-16,664.958984375
2024-02-17,659.152587890625
2024-02-18,639.16552734375
2024-02-19,639.8450317382812
2024-02-20,623.8054809570312
2024-02-21,629.01220703125
2024-02-22,588.9708862304688
2024-02-23,583.3270874023438
2024-02-24,562.0757446289062
2024-02-25,568.3978881835938
2024-02-26,597.0131225585938
2024-02-27,605.54541015625
2024-02-28,606.8926391601562
2024-02-29,619.047607421875
2024-03-01,668.1376953125
2024-03-02,650.2185668945312
2024-03-03,628.0929565429688
2024-03-04,648.099609375
2024-03-05,678.5908203125
2024-03-06,713.7874145507812
2024-03-07,730.2552490234375
2024-03-08,695.9442749023438
2024-03-09,715.8345336914062
2024-03-10,690.7095947265625
2024-03-11,686.7974853515625
2024-03-12,678.1627807617188
2024-03-13,639.3223266601562
2024-03-14,630.0140991210938
2024-03-15,622.32958984375
2024-03-16,602.0587158203125
2024-03-17,695.5106811523438
2024-03-18,719.261962890625
2024-03-19,608.8046875
2024-03-20,685.0753784179688
2024-03-21,622.7826538085938
2024-03-22,579.1671752929688
2024-03-23,570.0355834960938
2024-03-24,600.2114868164062
2024-03-25,623.881103515625
2024-03-26,582.9119262695312
2024-03-27,534.1575317382812
2024-03-28,533.2210083007812
2024-03-29,522.7667846679688
2024-03-30,495.7784729003906
