Date,OKB-USD
2023-09-26,43.13477325439453
2023-09-27,42.685794830322266
2023-09-28,43.3099250793457
2023-09-29,43.115203857421875
2023-09-30,42.7538948059082
2023-10-01,43.5902214050293
2023-10-02,43.185157775878906
2023-10-03,43.059757232666016
2023-10-04,43.05072784423828
2023-10-05,42.74563217163086
2023-10-06,42.829288482666016
2023-10-07,43.128578186035156
2023-10-08,42.69019317626953
2023-10-09,42.27442169189453
2023-10-10,43.133270263671875
2023-10-11,42.61997604370117
2023-10-12,42.30684280395508
2023-10-13,43.27810287475586
2023-10-14,43.43927764892578
2023-10-15,43.25591278076172
2023-10-16,44.08737564086914
2023-10-17,46.237388610839844
2023-10-18,44.43505859375
2023-10-19,44.34483337402344
2023-10-20,43.79835510253906
2023-10-21,43.83815383911133
2023-10-22,44.01468276977539
2023-10-23,44.97721862792969
2023-10-24,46.347049713134766
2023-10-25,45.64828109741211
2023-10-26,45.274742126464844
2023-10-27,44.68098449707031
2023-10-28,44.92160415649414
2023-10-29,44.98768615722656
2023-10-30,45.11986541748047
2023-10-31,45.04782485961914
2023-11-01,46.05976104736328
2023-11-02,45.42250442504883
2023-11-03,45.70650100708008
2023-11-04,46.409271240234375
2023-11-05,52.656192779541016
2023-11-06,52.67760467529297
2023-11-07,52.46578598022461
2023-11-08,56.84184265136719
2023-11-09,61.31760787963867
2023-11-10,62.23942947387695
2023-11-11,61.53411102294922
2023-11-12,59.99482727050781
2023-11-13,59.40557861328125
2023-11-14,59.95719909667969
2023-11-15,60.87596130371094
2023-11-16,56.96768569946289
2023-11-17,56.73379898071289
2023-11-18,57.967472076416016
2023-11-19,58.36195755004883
2023-11-20,57.562705993652344
2023-11-21,57.09043884277344
2023-11-22,58.1484375
2023-11-23,58.06831359863281
2023-11-24,58.08928298950195
2023-11-25,58.36724090576172
2023-11-26,57.608612060546875
2023-11-27,56.573978424072266
2023-11-28,56.689247131347656
2023-11-29,56.20963668823242
2023-11-30,56.34084701538086
2023-12-01,57.80143356323242
2023-12-02,58.48481750488281
2023-12-03,58.252113342285156
2023-12-04,59.12352752685547
2023-12-05,58.079307556152344
2023-12-06,56.834251403808594
2023-12-07,56.888668060302734
2023-12-08,57.618587493896484
2023-12-09,57.21519470214844
2023-12-10,60.1791877746582
2023-12-11,58.289939880371094
2023-12-12,58.671180725097656
2023-12-13,59.5342903137207
2023-12-14,59.24900436401367
2023-12-15,57.76470184326172
2023-12-16,57.75918960571289
2023-12-17,55.62725830078125
2023-12-18,54.653560638427734
2023-12-19,54.93174362182617
2023-12-20,55.45767593383789
2023-12-21,55.33296203613281
2023-12-22,55.3441276550293
2023-12-23,55.55217361450195
2023-12-24,54.67927551269531
2023-12-25,54.26838302612305
2023-12-26,54.427921295166016
2023-12-27,55.48924255371094
2023-12-28,55.63888931274414
2023-12-29,55.02449035644531
2023-12-30,54.779869079589844
2023-12-31,54.80135726928711
2024-01-01,55.84138870239258
2024-01-02,55.5985107421875
2024-01-03,53.94932556152344
2024-01-04,54.8031005859375
2024-01-05,55.39089584350586
2024-01-06,54.523990631103516
2024-01-07,53.95194625854492
2024-01-08,54.822059631347656
2024-01-09,53.54295349121094
2024-01-10,54.88264083862305
2024-01-11,54.40247344970703
2024-01-12,53.275455474853516
2024-01-13,54.05861282348633
2024-01-14,53.07569122314453
2024-01-15,54.19974136352539
2024-01-16,54.6019172668457
2024-01-17,54.90586853027344
2024-01-18,54.29433059692383
2024-01-19,53.093055725097656
2024-01-20,53.674659729003906
2024-01-21,53.96428298950195
2024-01-22,52.25223159790039
2024-01-23,47.12762451171875
2024-01-24,47.56693649291992
2024-01-25,50.2485237121582
2024-01-26,54.24687576293945
2024-01-27,53.244911193847656
2024-01-28,52.29421615600586
2024-01-29,52.18252944946289
2024-01-30,52.67781448364258
2024-01-31,49.122581481933594
2024-02-01,48.99554443359375
2024-02-02,48.34500503540039
2024-02-03,48.94364929199219
2024-02-04,48.28962326049805
2024-02-05,48.34657669067383
2024-02-06,48.15510559082031
2024-02-07,48.488731384277344
2024-02-08,49.34975051879883
2024-02-09,49.47959518432617
2024-02-10,49.92565155029297
2024-02-11,49.73871994018555
2024-02-12,49.92776870727539
2024-02-13,49.5675048828125
2024-02-14,50.3204231262207
2024-02-15,50.8775749206543
2024-02-16,51.6733512878418
2024-02-17,51.7557373046875
2024-02-18,52.35114288330078
2024-02-19,52.89688491821289
2024-02-20,50.97283172607422
2024-02-21,50.95023727416992
2024-02-22,50.751136779785156
2024-02-23,50.552547454833984
2024-02-24,51.4268684387207
2024-02-25,50.23061752319336
2024-02-26,51.23672103881836
2024-02-27,51.5009880065918
2024-02-28,52.342952728271484
2024-02-29,51.860225677490234
2024-03-01,51.883872985839844
2024-03-02,54.508705139160156
2024-03-03,58.18902587890625
2024-03-04,56.86060333251953
2024-03-05,54.402130126953125
2024-03-06,56.15888595581055
2024-03-07,58.661624908447266
2024-03-08,59.85845947265625
2024-03-09,61.518558502197266
2024-03-10,67.1120834350586
2024-03-11,67.75968933105469
2024-03-12,65.86869049072266
2024-03-13,72.45079040527344
2024-03-14,69.2359390258789
2024-03-15,66.57559204101562
2024-03-16,64.5468978881836
2024-03-17,64.3873519897461
2024-03-18,64.32418060302734
2024-03-19,56.401031494140625
2024-03-20,60.500877380371094
2024-03-21,59.4765625
2024-03-22,58.20783996582031
2024-03-23,60.613861083984375
2024-03-24,63.01885986328125
2024-03-25,65.08781433105469
2024-03-26,66.6563491821289
2024-03-27,64.5057373046875
2024-03-28,63.93899917602539
2024-03-29,63.76430892944336
