Date,ADA-USD
2023-09-26,0.2453950047492981
2023-09-27,0.24479100108146667
2023-09-28,0.24911999702453613
2023-09-29,0.24953599274158478
2023-09-30,0.2540470063686371
2023-10-01,0.2658950090408325
2023-10-02,0.2595129907131195
2023-10-03,0.261027991771698
2023-10-04,0.25931501388549805
2023-10-05,0.2601490020751953
2023-10-06,0.2648720145225525
2023-10-07,0.2587350010871887
2023-10-08,0.25662899017333984
2023-10-09,0.25164198875427246
2023-10-10,0.24914099276065826
2023-10-11,0.24800099432468414
2023-10-12,0.2459219992160797
2023-10-13,0.24614599347114563
2023-10-14,0.2470110058784485
2023-10-15,0.24735599756240845
2023-10-16,0.25156301259994507
2023-10-17,0.24711500108242035
2023-10-18,0.2434529960155487
2023-10-19,0.24692299962043762
2023-10-20,0.25113800168037415
2023-10-21,0.25858500599861145
2023-10-22,0.2635729908943176
2023-10-23,0.2799539864063263
2023-10-24,0.27899301052093506
2023-10-25,0.28055599331855774
2023-10-26,0.2872920036315918
2023-10-27,0.289467990398407
2023-10-28,0.29124999046325684
2023-10-29,0.2952829897403717
2023-10-30,0.30273398756980896
2023-10-31,0.2931070029735565
2023-11-01,0.3074589967727661
2023-11-02,0.32314199209213257
2023-11-03,0.32902100682258606
2023-11-04,0.32854199409484863
2023-11-05,0.34286999702453613
2023-11-06,0.36340799927711487
2023-11-07,0.3515709936618805
2023-11-08,0.35835000872612
2023-11-09,0.3683350086212158
2023-11-10,0.38620999455451965
2023-11-11,0.38456401228904724
2023-11-12,0.38338300585746765
2023-11-13,0.35841500759124756
2023-11-14,0.3578700125217438
2023-11-15,0.37929201126098633
2023-11-16,0.37176600098609924
2023-11-17,0.36660900712013245
2023-11-18,0.3776940107345581
2023-11-19,0.38452500104904175
2023-11-20,0.38068199157714844
2023-11-21,0.3586310148239136
2023-11-22,0.3806599974632263
2023-11-23,0.38667500019073486
2023-11-24,0.3862130045890808
2023-11-25,0.3948110044002533
2023-11-26,0.3881849944591522
2023-11-27,0.37835898995399475
2023-11-28,0.3856239914894104
2023-11-29,0.38177600502967834
2023-11-30,0.3758949935436249
2023-12-01,0.3842020034790039
2023-12-02,0.39779800176620483
2023-12-03,0.39515501260757446
2023-12-04,0.406810998916626
2023-12-05,0.4256579875946045
2023-12-06,0.4424059987068176
2023-12-07,0.4564320147037506
2023-12-08,0.5459210276603699
2023-12-09,0.5785999894142151
2023-12-10,0.5941550135612488
2023-12-11,0.5510209798812866
2023-12-12,0.5764070153236389
2023-12-13,0.6652439832687378
2023-12-14,0.6434779763221741
2023-12-15,0.6014080047607422
2023-12-16,0.60760897397995
2023-12-17,0.5803139805793762
2023-12-18,0.6010329723358154
2023-12-19,0.5766000151634216
2023-12-20,0.5893290042877197
2023-12-21,0.6365990042686462
2023-12-22,0.6242160201072693
2023-12-23,0.6145480275154114
2023-12-24,0.5939549803733826
2023-12-25,0.6257209777832031
2023-12-26,0.6087989807128906
2023-12-27,0.6335350275039673
2023-12-28,0.6174219846725464
2023-12-29,0.608493983745575
2023-12-30,0.601963996887207
2023-12-31,0.5942050218582153
2024-01-01,0.6231099963188171
2024-01-02,0.605666995048523
2024-01-03,0.5572860240936279
2024-01-04,0.5705670118331909
2024-01-05,0.5412420034408569
2024-01-06,0.5231029987335205
2024-01-07,0.4941740036010742
2024-01-08,0.5409359931945801
2024-01-09,0.5115270018577576
2024-01-10,0.5666469931602478
2024-01-11,0.5821790099143982
2024-01-12,0.5473330020904541
2024-01-13,0.5493360161781311
2024-01-14,0.5259810090065002
2024-01-15,0.5281609892845154
2024-01-16,0.5356760025024414
2024-01-17,0.5270289778709412
2024-01-18,0.5018740296363831
2024-01-19,0.503150999546051
2024-01-20,0.5150049924850464
2024-01-21,0.5031049847602844
2024-01-22,0.4785020053386688
2024-01-23,0.4767490029335022
2024-01-24,0.47629600763320923
2024-01-25,0.46647900342941284
2024-01-26,0.48529401421546936
2024-01-27,0.48632100224494934
2024-01-28,0.4897190034389496
2024-01-29,0.5252749919891357
2024-01-30,0.5141649842262268
2024-01-31,0.49825599789619446
2024-02-01,0.5070229768753052
2024-02-02,0.5139579772949219
2024-02-03,0.5128610134124756
2024-02-04,0.49425598978996277
2024-02-05,0.49333998560905457
2024-02-06,0.4984630048274994
2024-02-07,0.5017729997634888
2024-02-08,0.5292689800262451
2024-02-09,0.5407919883728027
2024-02-10,0.5514119863510132
2024-02-11,0.5414100289344788
2024-02-12,0.560030996799469
2024-02-13,0.5449960231781006
2024-02-14,0.5773019790649414
2024-02-15,0.6083629727363586
2024-02-16,0.5988720059394836
2024-02-17,0.6083459854125977
2024-02-18,0.6187340021133423
2024-02-19,0.6310629844665527
2024-02-20,0.6221650242805481
2024-02-21,0.5984579920768738
2024-02-22,0.5859019756317139
2024-02-23,0.5832419991493225
2024-02-24,0.5966960191726685
2024-02-25,0.5913789868354797
2024-02-26,0.6197360157966614
2024-02-27,0.6242160201072693
2024-02-28,0.6310589909553528
2024-02-29,0.655646026134491
2024-03-01,0.7190809845924377
2024-03-02,0.7409279942512512
2024-03-03,0.7282379865646362
2024-03-04,0.7712939977645874
2024-03-05,0.6934900283813477
2024-03-06,0.7338209748268127
2024-03-07,0.7447419762611389
2024-03-08,0.7248539924621582
2024-03-09,0.7437130212783813
2024-03-10,0.7172269821166992
2024-03-11,0.7741900086402893
2024-03-12,0.7480549812316895
2024-03-13,0.7645800113677979
2024-03-14,0.7504739761352539
2024-03-15,0.7264410257339478
2024-03-16,0.6595349907875061
2024-03-17,0.681098997592926
2024-03-18,0.6612579822540283
