Date,BNB-USD
2023-09-26,212.37844848632812
2023-09-27,211.98541259765625
2023-09-28,215.07598876953125
2023-09-29,215.2794189453125
2023-09-30,214.82130432128906
2023-10-01,218.04713439941406
2023-10-02,214.7579345703125
2023-10-03,213.43594360351562
2023-10-04,213.4130859375
2023-10-05,210.67967224121094
2023-10-06,213.55552673339844
2023-10-07,212.36447143554688
2023-10-08,211.51998901367188
2023-10-09,205.75096130371094
2023-10-10,208.57687377929688
2023-10-11,206.53341674804688
2023-10-12,205.2294158935547
2023-10-13,206.03611755371094
2023-10-14,206.60189819335938
2023-10-15,209.7425079345703
2023-10-16,214.82395935058594
2023-10-17,211.6432342529297
2023-10-18,210.50103759765625
2023-10-19,211.1441650390625
2023-10-20,212.30084228515625
2023-10-21,214.3056640625
2023-10-22,217.74737548828125
2023-10-23,228.35276794433594
2023-10-24,225.14295959472656
2023-10-25,222.179931640625
2023-10-26,223.2360382080078
2023-10-27,224.4759063720703
2023-10-28,225.77407836914062
2023-10-29,227.14845275878906
2023-10-30,228.2874298095703
2023-10-31,226.43994140625
2023-11-01,228.00010681152344
2023-11-02,231.7230224609375
2023-11-03,230.60597229003906
2023-11-04,237.45460510253906
2023-11-05,244.32247924804688
2023-11-06,254.63479614257812
2023-11-07,246.39529418945312
2023-11-08,247.123291015625
2023-11-09,251.51084899902344
2023-11-10,251.08236694335938
2023-11-11,251.42161560058594
2023-11-12,247.6400146484375
2023-11-13,241.33506774902344
2023-11-14,242.263671875
2023-11-15,253.75534057617188
2023-11-16,242.75888061523438
2023-11-17,244.745361328125
2023-11-18,244.9507598876953
2023-11-19,246.58778381347656
2023-11-20,253.6350860595703
2023-11-21,226.4864044189453
2023-11-22,236.1365966796875
2023-11-23,233.76580810546875
2023-11-24,232.9009552001953
2023-11-25,234.43994140625
2023-11-26,232.0471954345703
2023-11-27,227.42147827148438
2023-11-28,229.69296264648438
2023-11-29,227.34275817871094
2023-11-30,227.68380737304688
2023-12-01,228.54563903808594
2023-12-02,229.30084228515625
2023-12-03,228.09820556640625
2023-12-04,233.29530334472656
2023-12-05,231.2613525390625
2023-12-06,229.42440795898438
2023-12-07,232.97743225097656
2023-12-08,238.91598510742188
2023-12-09,237.7686004638672
2023-12-10,239.733154296875
2023-12-11,246.42086791992188
2023-12-12,254.49497985839844
2023-12-13,252.42332458496094
2023-12-14,253.5412139892578
2023-12-15,244.8984375
2023-12-16,244.35096740722656
2023-12-17,239.30828857421875
2023-12-18,241.3484344482422
2023-12-19,252.63719177246094
2023-12-20,260.10736083984375
2023-12-21,271.24658203125
2023-12-22,271.3764953613281
2023-12-23,271.3909606933594
2023-12-24,264.71710205078125
2023-12-25,267.0733642578125
2023-12-26,297.6932373046875
2023-12-27,323.6773376464844
2023-12-28,323.5989990234375
2023-12-29,313.8787536621094
2023-12-30,317.16619873046875
2023-12-31,312.4356994628906
2024-01-01,314.4082946777344
2024-01-02,312.10382080078125
2024-01-03,316.6612854003906
2024-01-04,323.6000061035156
2024-01-05,317.4502868652344
2024-01-06,307.79449462890625
2024-01-07,302.8905334472656
2024-01-08,304.5003967285156
2024-01-09,300.9761047363281
2024-01-10,305.0968322753906
2024-01-11,308.7015075683594
2024-01-12,296.6304626464844
2024-01-13,302.227294921875
2024-01-14,299.05133056640625
2024-01-15,317.5672607421875
2024-01-16,315.22625732421875
2024-01-17,309.08538818359375
2024-01-18,313.2928771972656
2024-01-19,314.3004455566406
2024-01-20,316.96038818359375
2024-01-21,318.3186950683594
2024-01-22,305.43701171875
2024-01-23,298.4039001464844
2024-01-24,293.0914306640625
2024-01-25,291.9192810058594
2024-01-26,302.3179931640625
2024-01-27,305.8248291015625
2024-01-28,304.9756164550781
2024-01-29,310.7080078125
2024-01-30,307.4627380371094
2024-01-31,300.35107421875
2024-02-01,300.1759033203125
2024-02-02,301.15496826171875
2024-02-03,299.7367248535156
2024-02-04,304.7341613769531
2024-02-05,300.8540344238281
2024-02-06,302.71014404296875
2024-02-07,307.63458251953125
2024-02-08,318.87188720703125
2024-02-09,323.84228515625
2024-02-10,323.1338806152344
2024-02-11,320.78753662109375
2024-02-12,327.9446105957031
2024-02-13,324.86822509765625
2024-02-14,334.2459716796875
2024-02-15,354.7108154296875
2024-02-16,360.890380859375
2024-02-17,352.9081115722656
2024-02-18,349.6799621582031
2024-02-19,351.8070983886719
2024-02-20,354.8639221191406
2024-02-21,378.5373229980469
2024-02-22,382.009765625
2024-02-23,375.319091796875
2024-02-24,381.7427978515625
2024-02-25,388.5517272949219
2024-02-26,401.6438903808594
2024-02-27,394.9956359863281
2024-02-28,415.7716064453125
2024-02-29,399.7787170410156
2024-03-01,407.8107604980469
2024-03-02,410.9858703613281
2024-03-03,414.3810729980469
2024-03-04,419.0354309082031
2024-03-05,394.6617431640625
2024-03-06,429.011962890625
2024-03-07,475.2906494140625
2024-03-08,488.09417724609375
2024-03-09,489.56182861328125
2024-03-10,529.374755859375
2024-03-11,522.718017578125
2024-03-12,537.86572265625
2024-03-13,630.5613403320312
2024-03-14,602.9887084960938
2024-03-15,632.8027954101562
2024-03-16,576.7752075195312
2024-03-17,571.0855712890625
2024-03-18,554.55712890625
2024-03-19,507.0765686035156
2024-03-20,556.7005004882812
2024-03-21,553.2482299804688
2024-03-22,551.778564453125
2024-03-23,551.8795166015625
2024-03-24,567.9948120117188
2024-03-25,587.4276123046875
2024-03-26,580.1505126953125
2024-03-27,574.5115966796875
2024-03-28,583.2708740234375
2024-03-29,612.657958984375
2024-03-30,601.016357421875
2024-03-31,606.9086303710938
2024-04-01,576.3966674804688
2024-04-02,550.6814575195312
2024-04-03,562.0196533203125
2024-04-04,585.4415283203125
2024-04-05,578.9669189453125
2024-04-06,585.966796875
2024-04-07,584.1021728515625
2024-04-08,586.9009399414062
2024-04-09,580.830322265625
