Date,HBAR-USD
2023-09-26,0.04941299930214882
2023-09-27,0.0494530014693737
2023-09-28,0.049880001693964005
2023-09-29,0.04951599985361099
2023-09-30,0.049747999757528305
2023-10-01,0.05078100040555
2023-10-02,0.049922000616788864
2023-10-03,0.04936600103974342
2023-10-04,0.048861000686883926
2023-10-05,0.048106998205184937
2023-10-06,0.04843999817967415
2023-10-07,0.048225998878479004
2023-10-08,0.04805900156497955
2023-10-09,0.04648900032043457
2023-10-10,0.04694199934601784
2023-10-11,0.04662099853157997
2023-10-12,0.04562399908900261
2023-10-13,0.04667000100016594
2023-10-14,0.04682299867272377
2023-10-15,0.04678799957036972
2023-10-16,0.04751500114798546
2023-10-17,0.04669199883937836
2023-10-18,0.04745600000023842
2023-10-19,0.045816000550985336
2023-10-20,0.04743000119924545
2023-10-21,0.049031998962163925
2023-10-22,0.04992600157856941
2023-10-23,0.05180000141263008
2023-10-24,0.05136600136756897
2023-10-25,0.052083998918533325
2023-10-26,0.052946001291275024
2023-10-27,0.050992999225854874
2023-10-28,0.05195999890565872
2023-10-29,0.0524899996817112
2023-10-30,0.053707998245954514
2023-10-31,0.052487000823020935
2023-11-01,0.053603000938892365
2023-11-02,0.055486999452114105
2023-11-03,0.05477999895811081
2023-11-04,0.055697001516819
2023-11-05,0.05589500069618225
2023-11-06,0.058580998331308365
2023-11-07,0.05758700147271156
2023-11-08,0.06060799956321716
2023-11-09,0.059773001819849014
2023-11-10,0.06282900273799896
2023-11-11,0.06190099939703941
2023-11-12,0.062144000083208084
2023-11-13,0.05917299911379814
2023-11-14,0.05849999934434891
2023-11-15,0.06182600185275078
2023-11-16,0.06080299988389015
2023-11-17,0.06382700055837631
2023-11-18,0.0616689994931221
2023-11-19,0.06258399784564972
2023-11-20,0.06608500331640244
2023-11-21,0.058775000274181366
2023-11-22,0.06250400096178055
2023-11-23,0.061599001288414
2023-11-24,0.06231699883937836
2023-11-25,0.06353799998760223
2023-11-26,0.06292100250720978
2023-11-27,0.06155800074338913
2023-11-28,0.061177000403404236
2023-11-29,0.060141999274492264
2023-11-30,0.0602400004863739
2023-12-01,0.060878001153469086
2023-12-02,0.06248199939727783
2023-12-03,0.06228699907660484
2023-12-04,0.06383100152015686
2023-12-05,0.06591600179672241
2023-12-06,0.06855099648237228
2023-12-07,0.06921800225973129
2023-12-08,0.07425600290298462
2023-12-09,0.07438100129365921
2023-12-10,0.07505899667739868
2023-12-11,0.07096599787473679
2023-12-12,0.07548700273036957
2023-12-13,0.07682699710130692
2023-12-14,0.08384300023317337
2023-12-15,0.07996699959039688
2023-12-16,0.07990100234746933
2023-12-17,0.07854200154542923
2023-12-18,0.07949499785900116
2023-12-19,0.08154799789190292
2023-12-20,0.08699999749660492
2023-12-21,0.09124100208282471
2023-12-22,0.09091100096702576
2023-12-23,0.09123100340366364
2023-12-24,0.09031300246715546
2023-12-25,0.09249900281429291
2023-12-26,0.08979800343513489
2023-12-27,0.0922119989991188
2023-12-28,0.08954799920320511
2023-12-29,0.08904699981212616
2023-12-30,0.0871260017156601
2023-12-31,0.08591599762439728
2024-01-01,0.09161599725484848
2024-01-02,0.09699299931526184
2024-01-03,0.08830200135707855
2024-01-04,0.08812099695205688
2024-01-05,0.08477699756622314
2024-01-06,0.07952400296926498
2024-01-07,0.07520700246095657
2024-01-08,0.0815730020403862
2024-01-09,0.07750000059604645
2024-01-10,0.08333499729633331
2024-01-11,0.08427800238132477
2024-01-12,0.08006200194358826
2024-01-13,0.0811619982123375
2024-01-14,0.07706499844789505
2024-01-15,0.07778999954462051
2024-01-16,0.0805559977889061
2024-01-17,0.07900100201368332
2024-01-18,0.07521499693393707
2024-01-19,0.07555100321769714
2024-01-20,0.07635200023651123
2024-01-21,0.07542700320482254
2024-01-22,0.07120800018310547
2024-01-23,0.07062599807977676
2024-01-24,0.07224400341510773
2024-01-25,0.07133500277996063
2024-01-26,0.0745370015501976
2024-01-27,0.07443699985742569
2024-01-28,0.07335600256919861
2024-01-29,0.07440999895334244
2024-01-30,0.07293599843978882
2024-01-31,0.06954099982976913
2024-02-01,0.07022900134325027
2024-02-02,0.06919199973344803
2024-02-03,0.06929200142621994
2024-02-04,0.06841100007295609
2024-02-05,0.06942900270223618
2024-02-06,0.0749329999089241
2024-02-07,0.07588600367307663
2024-02-08,0.0760129988193512
2024-02-09,0.0794610008597374
2024-02-10,0.0789399966597557
2024-02-11,0.07829199731349945
2024-02-12,0.0797479972243309
2024-02-13,0.08151400089263916
2024-02-14,0.08250600099563599
2024-02-15,0.08286699652671814
2024-02-16,0.0856499969959259
2024-02-17,0.08349700272083282
2024-02-18,0.08974699676036835
2024-02-19,0.11199399828910828
2024-02-20,0.10745900124311447
2024-02-21,0.10455799847841263
2024-02-22,0.11610600352287292
2024-02-23,0.10941000282764435
2024-02-24,0.11009500175714493
2024-02-25,0.10923200100660324
2024-02-26,0.11161799728870392
2024-02-27,0.10823699831962585
2024-02-28,0.11351799964904785
2024-02-29,0.11448899656534195
2024-03-01,0.11677300184965134
2024-03-02,0.11544600129127502
2024-03-03,0.11300300061702728
2024-03-04,0.11735799908638
2024-03-05,0.1117430031299591
2024-03-06,0.12581799924373627
2024-03-07,0.1339469999074936
2024-03-08,0.1307159960269928
2024-03-09,0.1307629942893982
2024-03-10,0.12593799829483032
2024-03-11,0.13268400728702545
2024-03-12,0.1331769973039627
2024-03-13,0.13261500000953674
2024-03-14,0.12697400152683258
2024-03-15,0.12026199698448181
2024-03-16,0.1108120009303093
2024-03-17,0.11636500060558319
