Date,WBTC-USD
2024-04-16,63761.7265625
2024-04-17,61298.671875
2024-04-18,63494.86328125
2024-04-19,63898.0546875
2024-04-20,64913.78515625
2024-04-21,64956.875
2024-04-22,66853.25
2024-04-23,66390.921875
2024-04-24,64220.13671875
2024-04-25,64568.6484375
2024-04-26,63820.0703125
2024-04-27,63418.9765625
2024-04-28,63054.2265625
2024-04-29,63857.55078125
2024-04-30,60664.29296875
2024-05-01,58272.0078125
2024-05-02,59196.44921875
2024-05-03,62897.10546875
2024-05-04,63775.90625
2024-05-05,64001.85546875
2024-05-06,63215.5234375
2024-05-07,62354.97265625
2024-05-08,61118.01171875
2024-05-09,63028.93359375
2024-05-10,60793.234375
2024-05-11,60837.76953125
2024-05-12,61391.1484375
2024-05-13,62877.25390625
2024-05-14,61569.14453125
2024-05-15,66242.9609375
2024-05-16,65321.66015625
2024-05-17,66950.2734375
2024-05-18,66936.4609375
2024-05-19,66291.5625
2024-05-20,71369.8359375
2024-05-21,70238.203125
2024-05-22,69253.09375
2024-05-23,67842.0234375
2024-05-24,68630.1796875
2024-05-25,69231.625
2024-05-26,68528.1640625
2024-05-27,69424.4140625
2024-05-28,68399.0859375
2024-05-29,67556.1796875
2024-05-30,68355.40625
2024-05-31,67502.65625
2024-06-01,67781.109375
2024-06-02,67800.75
2024-06-03,68929.5234375
2024-06-04,70585.2890625
2024-06-05,71129.375
2024-06-06,70811.65625
2024-06-07,69357.75
2024-06-08,69333.1484375
2024-06-09,69700.1640625
2024-06-10,69500.3046875
2024-06-11,67367.140625
2024-06-12,68298.5078125
2024-06-13,66803.421875
2024-06-14,66076.9453125
2024-06-15,66236.796875
2024-06-16,66732.890625
2024-06-17,66444.3828125
2024-06-18,65177.2109375
2024-06-19,65018.984375
2024-06-20,64926.76171875
2024-06-21,64086.0859375
2024-06-22,64283.49609375
2024-06-23,63291.8359375
2024-06-24,60341.85546875
2024-06-25,61857.625
2024-06-26,60927.62109375
2024-06-27,61674.91796875
2024-06-28,60373.1328125
2024-06-29,60933.7265625
2024-06-30,62738.53125
2024-07-01,62847.25390625
2024-07-02,62027.9140625
2024-07-03,60229.85546875
2024-07-04,57177.0625
2024-07-05,56678.81640625
2024-07-06,58221.640625
2024-07-07,55936.4140625
2024-07-08,56731.57421875
2024-07-09,58006.59765625
2024-07-10,57767.40234375
2024-07-11,57390.3046875
2024-07-12,57918.02734375
2024-07-13,59277.31640625
2024-07-14,60955.79296875
2024-07-15,64826.03515625
2024-07-16,65100.1484375
2024-07-17,64218.765625
2024-07-18,64044.22265625
2024-07-19,66787.2421875
2024-07-20,67191.3828125
2024-07-21,68103.8359375
2024-07-22,67558.7734375
2024-07-23,65993.21875
2024-07-24,65396.7265625
2024-07-25,65711.9453125
2024-07-26,67947.484375
2024-07-27,68011.4453125
2024-07-28,68157.5390625
2024-07-29,66980.765625
2024-07-30,66253.5859375
2024-07-31,64798.18359375
2024-08-01,65336.50390625
2024-08-02,61566.9296875
2024-08-03,60694.2265625
2024-08-04,58163.4453125
2024-08-05,54133.4609375
2024-08-06,55999.80859375
2024-08-07,55076.8046875
2024-08-08,61776.26953125
2024-08-09,60740.86328125
2024-08-10,60896.9609375
2024-08-11,58777.640625
2024-08-12,59389.52734375
2024-08-13,60534.2890625
2024-08-14,58867.296875
2024-08-15,57593.828125
2024-08-16,58862.8984375
2024-08-17,59334.87109375
