Date,CRO-USD
2023-09-26,0.050154998898506165
2023-09-27,0.049984000623226166
2023-09-28,0.050700001418590546
2023-09-29,0.050776999443769455
2023-09-30,0.050815001130104065
2023-10-01,0.051809001713991165
2023-10-02,0.05067000165581703
2023-10-03,0.050255998969078064
2023-10-04,0.05030500143766403
2023-10-05,0.050106000155210495
2023-10-06,0.05073700100183487
2023-10-07,0.05062500014901161
2023-10-08,0.05031999945640564
2023-10-09,0.04973100125789642
2023-10-10,0.049306001514196396
2023-10-11,0.04903100058436394
2023-10-12,0.05079999938607216
2023-10-13,0.05221100151538849
2023-10-14,0.051931001245975494
2023-10-15,0.05223499983549118
2023-10-16,0.05259300023317337
2023-10-17,0.052358001470565796
2023-10-18,0.051330000162124634
2023-10-19,0.0511929988861084
2023-10-20,0.05236399918794632
2023-10-21,0.05339600145816803
2023-10-22,0.05382800102233887
2023-10-23,0.05685700103640556
2023-10-24,0.057479001581668854
2023-10-25,0.05783399939537048
2023-10-26,0.05943499878048897
2023-10-27,0.059060998260974884
2023-10-28,0.0595179982483387
2023-10-29,0.05998099967837334
2023-10-30,0.06120400130748749
2023-10-31,0.06190599873661995
2023-11-01,0.06231899932026863
2023-11-02,0.06683800369501114
2023-11-03,0.06639000028371811
2023-11-04,0.06830699741840363
2023-11-05,0.07015600055456161
2023-11-06,0.07545600086450577
2023-11-07,0.08002699911594391
2023-11-08,0.08062499761581421
2023-11-09,0.08396600186824799
2023-11-10,0.09993500262498856
2023-11-11,0.10835900157690048
2023-11-12,0.09906899929046631
2023-11-13,0.0927010029554367
2023-11-14,0.08817999809980392
2023-11-15,0.10304799675941467
2023-11-16,0.0964680016040802
2023-11-17,0.09962499886751175
2023-11-18,0.09786199778318405
2023-11-19,0.0980369970202446
2023-11-20,0.09560000151395798
2023-11-21,0.08465400338172913
2023-11-22,0.09453500062227249
2023-11-23,0.0923440009355545
2023-11-24,0.09754300117492676
2023-11-25,0.0973849967122078
2023-11-26,0.09505099803209305
2023-11-27,0.09151100367307663
2023-11-28,0.09266400337219238
2023-11-29,0.09115500003099442
2023-11-30,0.08890599757432938
2023-12-01,0.09192100167274475
2023-12-02,0.0932060033082962
2023-12-03,0.09236299991607666
2023-12-04,0.09470000118017197
2023-12-05,0.09667599946260452
2023-12-06,0.09390199929475784
2023-12-07,0.09451600164175034
2023-12-08,0.09872999787330627
2023-12-09,0.10874799638986588
2023-12-10,0.10597299784421921
2023-12-11,0.09870900213718414
2023-12-12,0.10109899938106537
2023-12-13,0.10274700075387955
2023-12-14,0.10228800028562546
2023-12-15,0.09787900000810623
2023-12-16,0.10123699903488159
2023-12-17,0.09831500053405762
2023-12-18,0.09831500053405762
2023-12-19,0.09644400328397751
2023-12-20,0.09716100245714188
2023-12-21,0.09896399825811386
2023-12-22,0.10260400176048279
2023-12-23,0.10120899975299835
2023-12-24,0.0979359969496727
2023-12-25,0.10025300085544586
2023-12-26,0.0971980020403862
2023-12-27,0.10050100088119507
2023-12-28,0.09982900321483612
2023-12-29,0.09914900362491608
2023-12-30,0.09885299950838089
2023-12-31,0.09894099831581116
2024-01-01,0.10053499788045883
2024-01-02,0.10343000292778015
2024-01-03,0.09594999998807907
2024-01-04,0.09777499735355377
2024-01-05,0.09245000034570694
2024-01-06,0.08893799781799316
2024-01-07,0.08682499825954437
2024-01-08,0.0918470025062561
2024-01-09,0.08868200331926346
2024-01-10,0.09258999675512314
2024-01-11,0.09285800158977509
2024-01-12,0.0886479988694191
2024-01-13,0.08978399634361267
2024-01-14,0.08742599934339523
2024-01-15,0.08761999756097794
2024-01-16,0.08825100213289261
2024-01-17,0.08575700223445892
2024-01-18,0.08179199695587158
2024-01-19,0.08260200172662735
2024-01-20,0.0840580016374588
2024-01-21,0.08277600258588791
2024-01-22,0.077844999730587
2024-01-23,0.07696499675512314
2024-01-24,0.07921399921178818
2024-01-25,0.07877200096845627
2024-01-26,0.08209999650716782
2024-01-27,0.08148899674415588
2024-01-28,0.08060500025749207
2024-01-29,0.08365599811077118
2024-01-30,0.08352400362491608
2024-01-31,0.08152099698781967
2024-02-01,0.08128099888563156
2024-02-02,0.08175300061702728
2024-02-03,0.08122999966144562
2024-02-04,0.08046399801969528
2024-02-05,0.08168900012969971
2024-02-06,0.0817359983921051
2024-02-07,0.08416800200939178
2024-02-08,0.08429999649524689
2024-02-09,0.08819899708032608
2024-02-10,0.087398000061512
2024-02-11,0.08636900037527084
2024-02-12,0.08884000033140182
2024-02-13,0.09020300209522247
2024-02-14,0.09210100024938583
2024-02-15,0.09161099791526794
2024-02-16,0.09070099890232086
2024-02-17,0.08923099935054779
2024-02-18,0.0905819982290268
2024-02-19,0.09188699722290039
2024-02-20,0.09122800081968307
2024-02-21,0.09038600325584412
2024-02-22,0.0928419977426529
2024-02-23,0.09181199967861176
2024-02-24,0.09433799982070923
2024-02-25,0.09442099928855896
2024-02-26,0.09810200333595276
2024-02-27,0.10353899747133255
2024-02-28,0.10424099862575531
2024-02-29,0.10916899889707565
2024-03-01,0.1262979954481125
2024-03-02,0.1460539996623993
2024-03-03,0.14194199442863464
2024-03-04,0.14205700159072876
2024-03-05,0.1526859998703003
2024-03-06,0.15828600525856018
2024-03-07,0.157941997051239
2024-03-08,0.1628050059080124
2024-03-09,0.15853999555110931
2024-03-10,0.16552500426769257
2024-03-11,0.16940699517726898
2024-03-12,0.16185499727725983
2024-03-13,0.16130100190639496
2024-03-14,0.15279600024223328
2024-03-15,0.14322400093078613
2024-03-16,0.13285399973392487
2024-03-17,0.14419400691986084
