Date,NEAR-USD
2023-09-26,1.0798269510269165
2023-09-27,1.0757590532302856
2023-09-28,1.1072850227355957
2023-09-29,1.1224939823150635
2023-09-30,1.1339869499206543
2023-10-01,1.1606210470199585
2023-10-02,1.1153990030288696
2023-10-03,1.098713994026184
2023-10-04,1.0992239713668823
2023-10-05,1.073317050933838
2023-10-06,1.0929850339889526
2023-10-07,1.091130018234253
2023-10-08,1.0936850309371948
2023-10-09,1.0407309532165527
2023-10-10,1.0434279441833496
2023-10-11,1.0278129577636719
2023-10-12,1.011749029159546
2023-10-13,1.00832200050354
2023-10-14,1.011152982711792
2023-10-15,1.0255210399627686
2023-10-16,1.0345180034637451
2023-10-17,1.0089080333709717
2023-10-18,0.9996700286865234
2023-10-19,0.9867100119590759
2023-10-20,1.0055710077285767
2023-10-21,1.040179967880249
2023-10-22,1.0536129474639893
2023-10-23,1.0974030494689941
2023-10-24,1.1353490352630615
2023-10-25,1.1415339708328247
2023-10-26,1.191964030265808
2023-10-27,1.2211500406265259
2023-10-28,1.2197599411010742
2023-10-29,1.2702499628067017
2023-10-30,1.3229600191116333
2023-10-31,1.334138035774231
2023-11-01,1.5283269882202148
2023-11-02,1.5241830348968506
2023-11-03,1.4765260219573975
2023-11-04,1.5146750211715698
2023-11-05,1.6368499994277954
2023-11-06,1.584352970123291
2023-11-07,1.4491640329360962
2023-11-08,1.4759639501571655
2023-11-09,1.436161994934082
2023-11-10,1.5587389469146729
2023-11-11,1.598507046699524
2023-11-12,1.697957992553711
2023-11-13,1.5944819450378418
2023-11-14,1.536965012550354
2023-11-15,1.7031869888305664
2023-11-16,1.725803017616272
2023-11-17,1.868772029876709
2023-11-18,1.7702909708023071
2023-11-19,1.988070011138916
2023-11-20,1.998265027999878
2023-11-21,1.7595239877700806
2023-11-22,1.8260289430618286
2023-11-23,1.8081239461898804
2023-11-24,1.8365410566329956
2023-11-25,1.8866440057754517
2023-11-26,1.8284200429916382
2023-11-27,1.7812860012054443
2023-11-28,1.8192369937896729
2023-11-29,1.8001329898834229
2023-11-30,1.8808510303497314
2023-12-01,1.8936799764633179
2023-12-02,2.0106160640716553
2023-12-03,1.9831379652023315
2023-12-04,2.1477019786834717
2023-12-05,2.2521870136260986
2023-12-06,2.286428928375244
2023-12-07,2.2697598934173584
2023-12-08,2.383758068084717
2023-12-09,2.426558017730713
2023-12-10,2.5161449909210205
2023-12-11,2.239845037460327
2023-12-12,2.3020999431610107
2023-12-13,2.3272430896759033
2023-12-14,2.3243589401245117
2023-12-15,2.189847946166992
2023-12-16,2.3820390701293945
2023-12-17,2.269366979598999
2023-12-18,2.284450054168701
2023-12-19,2.436285972595215
2023-12-20,2.839524030685425
2023-12-21,3.5197529792785645
2023-12-22,3.363208055496216
2023-12-23,3.895308017730713
2023-12-24,3.811609983444214
2023-12-25,4.255462169647217
2023-12-26,4.307384967803955
2023-12-27,4.089457988739014
2023-12-28,3.772416114807129
2023-12-29,3.61855411529541
2023-12-30,3.6729910373687744
2023-12-31,3.6528639793395996
2024-01-01,3.799201011657715
2024-01-02,3.923046112060547
2024-01-03,3.7758491039276123
2024-01-04,3.919748067855835
2024-01-05,3.5459020137786865
2024-01-06,3.480813980102539
2024-01-07,3.208437919616699
2024-01-08,3.4157779216766357
2024-01-09,3.2260210514068604
2024-01-10,3.591649055480957
2024-01-11,3.6200931072235107
2024-01-12,3.4491169452667236
2024-01-13,3.4010679721832275
2024-01-14,3.307068109512329
2024-01-15,3.3035550117492676
2024-01-16,3.2356228828430176
2024-01-17,3.2997701168060303
2024-01-18,3.073837995529175
2024-01-19,3.002487897872925
2024-01-20,2.9594430923461914
2024-01-21,2.9202721118927
2024-01-22,2.6442298889160156
2024-01-23,2.649487018585205
2024-01-24,2.6818900108337402
2024-01-25,2.6978509426116943
2024-01-26,2.9223029613494873
2024-01-27,2.9093520641326904
2024-01-28,2.880887985229492
2024-01-29,3.007158041000366
2024-01-30,3.0091350078582764
2024-01-31,2.822042942047119
2024-02-01,2.853393077850342
2024-02-02,2.8985190391540527
2024-02-03,2.814734935760498
2024-02-04,2.753314971923828
2024-02-05,2.7462809085845947
2024-02-06,2.733901023864746
2024-02-07,2.866760015487671
2024-02-08,2.925611972808838
2024-02-09,2.9934680461883545
2024-02-10,3.0457100868225098
2024-02-11,3.125072956085205
2024-02-12,3.388375997543335
2024-02-13,3.2164299488067627
2024-02-14,3.3352439403533936
2024-02-15,3.400365114212036
2024-02-16,3.280803918838501
2024-02-17,3.331804037094116
2024-02-18,3.5160930156707764
2024-02-19,3.533247947692871
2024-02-20,3.401885986328125
2024-02-21,3.2431859970092773
2024-02-22,3.2456159591674805
2024-02-23,3.35782790184021
2024-02-24,3.8612709045410156
2024-02-25,3.708153009414673
2024-02-26,4.097135066986084
2024-02-27,3.9530210494995117
2024-02-28,3.885641098022461
2024-02-29,3.870361089706421
2024-03-01,3.9619879722595215
2024-03-02,4.491659164428711
2024-03-03,4.440537929534912
2024-03-04,4.338475227355957
2024-03-05,4.249266147613525
2024-03-06,5.862256050109863
2024-03-07,5.5399627685546875
2024-03-08,5.754786968231201
2024-03-09,6.210823059082031
2024-03-10,5.956162929534912
2024-03-11,6.68389892578125
2024-03-12,8.022502899169922
2024-03-13,7.755109786987305
2024-03-14,8.882497787475586
2024-03-15,7.477389812469482
2024-03-16,6.7304911613464355
2024-03-17,8.241128921508789
2024-03-18,7.022090911865234
2024-03-19,6.357397079467773
2024-03-20,6.900822162628174
2024-03-21,6.442201137542725
2024-03-22,6.474308013916016
