Date,BCH-USD
2023-09-26,214.23219299316406
2023-09-27,228.83692932128906
2023-09-28,239.1876983642578
2023-09-29,235.29722595214844
2023-09-30,234.35104370117188
2023-10-01,242.1915283203125
2023-10-02,246.634033203125
2023-10-03,230.07504272460938
2023-10-04,233.37852478027344
2023-10-05,231.29092407226562
2023-10-06,230.99559020996094
2023-10-07,230.31724548339844
2023-10-08,228.08560180664062
2023-10-09,218.43971252441406
2023-10-10,212.49974060058594
2023-10-11,214.02792358398438
2023-10-12,213.98365783691406
2023-10-13,217.254150390625
2023-10-14,214.63487243652344
2023-10-15,215.15821838378906
2023-10-16,231.42636108398438
2023-10-17,226.79425048828125
2023-10-18,227.14825439453125
2023-10-19,227.4677276611328
2023-10-20,240.6028289794922
2023-10-21,243.60321044921875
2023-10-22,243.489501953125
2023-10-23,260.6100769042969
2023-10-24,251.6548309326172
2023-10-25,254.08761596679688
2023-10-26,247.45997619628906
2023-10-27,239.43643188476562
2023-10-28,244.94923400878906
2023-10-29,246.32803344726562
2023-10-30,246.09274291992188
2023-10-31,244.8642578125
2023-11-01,245.07037353515625
2023-11-02,235.52210998535156
2023-11-03,237.716064453125
2023-11-04,240.33096313476562
2023-11-05,238.23455810546875
2023-11-06,242.87181091308594
2023-11-07,244.0255889892578
2023-11-08,245.68943786621094
2023-11-09,239.7634735107422
2023-11-10,239.92774963378906
2023-11-11,236.4889678955078
2023-11-12,236.5060272216797
2023-11-13,234.7109832763672
2023-11-14,231.65615844726562
2023-11-15,238.07025146484375
2023-11-16,234.1369171142578
2023-11-17,229.26284790039062
2023-11-18,227.48513793945312
2023-11-19,230.48040771484375
2023-11-20,226.49826049804688
2023-11-21,217.1041717529297
2023-11-22,224.07984924316406
2023-11-23,225.28274536132812
2023-11-24,226.50843811035156
2023-11-25,227.51412963867188
2023-11-26,226.91014099121094
2023-11-27,223.3904266357422
2023-11-28,223.45953369140625
2023-11-29,223.29359436035156
2023-11-30,221.5819091796875
2023-12-01,225.21685791015625
2023-12-02,228.1851348876953
2023-12-03,230.08058166503906
2023-12-04,251.2904815673828
2023-12-05,251.51113891601562
2023-12-06,244.5463104248047
2023-12-07,246.98426818847656
2023-12-08,253.6110076904297
2023-12-09,252.7654571533203
2023-12-10,250.95263671875
2023-12-11,230.49122619628906
2023-12-12,232.0464324951172
2023-12-13,235.4631805419922
2023-12-14,237.323974609375
2023-12-15,226.94537353515625
2023-12-16,229.6128692626953
2023-12-17,225.9416961669922
2023-12-18,227.93328857421875
2023-12-19,225.1953125
2023-12-20,229.5563507080078
2023-12-21,233.1860809326172
2023-12-22,238.72718811035156
2023-12-23,233.23106384277344
2023-12-24,229.19573974609375
2023-12-25,234.9774627685547
2023-12-26,229.1773223876953
2023-12-27,264.08685302734375
2023-12-28,262.49664306640625
2023-12-29,254.51272583007812
2023-12-30,271.1043395996094
2023-12-31,259.262939453125
2024-01-01,266.6159362792969
2024-01-02,256.9635009765625
2024-01-03,233.9602508544922
2024-01-04,239.56756591796875
2024-01-05,239.58287048339844
2024-01-06,236.0817413330078
2024-01-07,232.1685028076172
2024-01-08,253.89999389648438
2024-01-09,245.189453125
2024-01-10,254.23910522460938
2024-01-11,276.5281066894531
2024-01-12,259.45550537109375
2024-01-13,254.2232208251953
2024-01-14,246.0057830810547
2024-01-15,250.4188995361328
2024-01-16,251.1593017578125
2024-01-17,244.05238342285156
2024-01-18,237.42599487304688
2024-01-19,236.43170166015625
2024-01-20,238.890869140625
2024-01-21,236.9248504638672
2024-01-22,235.01434326171875
2024-01-23,229.54351806640625
2024-01-24,236.37936401367188
2024-01-25,236.7863311767578
2024-01-26,242.0111083984375
2024-01-27,243.7912139892578
2024-01-28,236.90118408203125
2024-01-29,241.2978515625
2024-01-30,237.38525390625
2024-01-31,234.25437927246094
2024-02-01,236.6152801513672
2024-02-02,236.2069091796875
2024-02-03,240.6577911376953
2024-02-04,235.22705078125
2024-02-05,235.43984985351562
2024-02-06,235.18617248535156
2024-02-07,240.5064697265625
2024-02-08,244.4889373779297
2024-02-09,250.30352783203125
2024-02-10,247.73220825195312
2024-02-11,276.5019226074219
2024-02-12,280.8579406738281
2024-02-13,270.8520812988281
2024-02-14,281.26165771484375
2024-02-15,270.6659240722656
2024-02-16,274.8199768066406
2024-02-17,267.4199523925781
2024-02-18,270.41644287109375
2024-02-19,273.10345458984375
2024-02-20,265.4651794433594
2024-02-21,263.1250915527344
2024-02-22,260.16876220703125
2024-02-23,264.54486083984375
2024-02-24,267.6621398925781
2024-02-25,267.8255920410156
2024-02-26,274.89813232421875
2024-02-27,292.5193786621094
2024-02-28,296.7937927246094
2024-02-29,298.5623779296875
2024-03-01,316.1250305175781
2024-03-02,500.8060607910156
2024-03-03,469.36279296875
2024-03-04,470.42315673828125
2024-03-05,401.4908447265625
2024-03-06,415.1284484863281
2024-03-07,432.400634765625
2024-03-08,437.76837158203125
2024-03-09,433.648193359375
2024-03-10,423.9754333496094
2024-03-11,448.73834228515625
2024-03-12,434.3209533691406
2024-03-13,442.5234069824219
2024-03-14,441.2276916503906
2024-03-15,416.3032531738281
2024-03-16,388.6847839355469
2024-03-17,402.6595153808594
2024-03-18,401.5744934082031
2024-03-19,359.23968505859375
2024-03-20,409.9807434082031
2024-03-21,414.4288024902344
2024-03-22,431.5363464355469
2024-03-23,456.816650390625
2024-03-24,484.7536315917969
2024-03-25,488.04595947265625
2024-03-26,480.10736083984375
2024-03-27,539.7933349609375
2024-03-28,569.156982421875
2024-03-29,621.78271484375
2024-03-30,597.110107421875
